policy_id,claim_id,accident_date,accident_year,development_year,claim_amount,claim_status,,,,,,,,,,,,,,
1301,109,29-01-2022,2022,1,131567,Closed,,,,,,,,,,,,,,
1319,110,09-05-2019,2019,0,36032,Closed,,,,,,,,,,,,,,
1326,111,25-04-2023,2023,2,80770,Open,,,,,,,,,,,,,,
1326,112,11-11-2023,2023,2,30369,Closed,,,,,,,,,,,,,,
1330,113,30-04-2022,2022,0,74498,Closed,,,,,,,,,,,,,,
1334,114,09-11-2019,2019,4,105534,Closed,,,,,,,,,,,,,,
1357,115,27-08-2025,2025,0,255031,Open,,,,,,,,,,,,,,
1358,116,28-05-2020,2020,3,34735,Closed,,,,,,,,,,,,,,
1363,117,07-12-2021,2021,0,49067,Closed,,,,,,,,,,,,,,
1367,118,29-07-2020,2020,2,15737,Open,,,,,,,,,,,,,,
1370,119,16-09-2023,2023,2,113664,Open,,,,,,,,,,,,,,
1371,120,27-10-2019,2019,5,204365,Closed,,,,,,,,,,,,,,
1377,121,27-07-2024,2024,0,58347,Open,,,,,,,,,,,,,,
1382,122,25-03-2019,2019,6,12743,Closed,,,,,,,,,,,,,,
1385,123,16-04-2018,2018,7,113414,Closed,,,,,,,,,,,,,,
1389,124,15-02-2020,2020,5,278932,Closed,,,,,,,,,,,,,,
1390,125,23-08-2023,2023,1,94801,Closed,,,,,,,,,,,,,,
1390,126,07-09-2023,2023,1,108029,Open,,,,,,,,,,,,,,
1403,127,28-08-2023,2023,1,25205,Closed,,,,,,,,,,,,,,
1448,128,02-08-2023,2023,0,147693,Closed,,,,,,,,,,,,,,
1472,129,01-01-2024,2024,0,136067,Closed,,,,,,,,,,,,,,
1479,130,25-04-2022,2022,2,192048,Open,,,,,,,,,,,,,,
1498,131,28-05-2019,2019,6,287097,Closed,,,,,,,,,,,,,,
1501,132,07-08-2020,2020,4,68903,Closed,,,,,,,,,,,,,,
1506,133,15-05-2018,2018,4,9657,Closed,,,,,,,,,,,,,,
1515,134,11-12-2021,2021,3,14361,Closed,,,,,,,,,,,,,,
1538,135,01-10-2022,2022,3,8332,Open,,,,,,,,,,,,,,
1539,136,22-09-2021,2021,1,45603,Closed,,,,,,,,,,,,,,
1545,137,04-02-2021,2021,4,97920,Open,,,,,,,,,,,,,,
1548,138,13-03-2019,2019,4,129796,Closed,,,,,,,,,,,,,,
1556,139,26-04-2022,2022,2,44664,Closed,,,,,,,,,,,,,,
1563,140,28-03-2018,2018,7,347116,Closed,,,,,,,,,,,,,,
1609,141,25-09-2019,2019,5,153267,Closed,,,,,,,,,,,,,,
1611,142,01-12-2019,2019,1,57238,Closed,,,,,,,,,,,,,,
1619,143,28-09-2020,2020,3,21228,Closed,,,,,,,,,,,,,,
1621,144,16-02-2025,2025,0,426442,Open,,,,,,,,,,,,,,
1621,145,05-01-2025,2025,0,225529,Open,,,,,,,,,,,,,,
1622,146,18-06-2024,2024,1,40330,Open,,,,,,,,,,,,,,
1623,147,10-02-2020,2020,1,410632,Closed,,,,,,,,,,,,,,
1672,148,07-09-2019,2019,6,135224,Closed,,,,,,,,,,,,,,
1676,149,15-02-2024,2024,0,171324,Open,,,,,,,,,,,,,,
1738,150,28-11-2020,2020,5,218497,Closed,,,,,,,,,,,,,,
1740,151,28-06-2021,2021,3,68529,Closed,,,,,,,,,,,,,,
1770,152,06-10-2018,2018,0,58424,Closed,,,,,,,,,,,,,,
1771,153,09-06-2021,2021,1,799380,Closed,,,,,,,,,,,,,,
1790,154,14-05-2019,2019,2,203497,Closed,,,,,,,,,,,,,,
1815,155,29-01-2020,2020,2,77358,Closed,,,,,,,,,,,,,,
1820,156,06-12-2020,2020,2,72750,Closed,,,,,,,,,,,,,,
1830,157,17-07-2019,2019,3,133437,Closed,,,,,,,,,,,,,,
1834,158,26-05-2018,2018,0,25518,Closed,,,,,,,,,,,,,,
1862,159,05-12-2020,2020,1,48275,Closed,,,,,,,,,,,,,,
1911,160,02-10-2018,2018,3,67880,Closed,,,,,,,,,,,,,,
1913,162,31-01-2025,2025,0,183451,Open,,,,,,,,,,,,,,
1913,161,31-05-2024,2024,0,61390,Open,,,,,,,,,,,,,,
1925,163,30-03-2019,2019,0,51137,Closed,,,,,,,,,,,,,,
1931,164,13-03-2024,2024,1,163809,Closed,,,,,,,,,,,,,,
1934,165,10-11-2022,2022,3,12344,Closed,,,,,,,,,,,,,,
1934,166,17-10-2022,2022,2,65307,Closed,,,,,,,,,,,,,,
1942,167,19-03-2023,2023,0,729211,Closed,,,,,,,,,,,,,,
1956,168,05-06-2023,2023,0,40806,Closed,,,,,,,,,,,,,,
1983,169,08-12-2022,2022,1,294335,Closed,,,,,,,,,,,,,,
1994,170,25-05-2025,2025,0,67432,Open,,,,,,,,,,,,,,
1995,171,19-09-2023,2023,2,19134,Open,,,,,,,,,,,,,,
2019,172,14-01-2021,2021,1,24550,Closed,,,,,,,,,,,,,,
2033,173,03-03-2021,2021,3,102904,Closed,,,,,,,,,,,,,,
2046,175,01-01-2024,2024,0,85182,Open,,,,,,,,,,,,,,
2046,174,26-12-2023,2023,1,255141,Closed,,,,,,,,,,,,,,
2053,176,12-09-2019,2019,3,63339,Closed,,,,,,,,,,,,,,
2071,177,28-05-2023,2023,2,20094,Open,,,,,,,,,,,,,,
2074,178,22-03-2020,2020,2,104595,Closed,,,,,,,,,,,,,,
2092,179,29-04-2021,2021,0,92943,Open,,,,,,,,,,,,,,
2121,180,15-12-2024,2024,0,88986,Open,,,,,,,,,,,,,,
2131,181,15-11-2019,2019,6,2795,Open,,,,,,,,,,,,,,
2137,182,15-12-2022,2022,3,3906,Closed,,,,,,,,,,,,,,
2142,183,25-05-2020,2020,5,5182,Closed,,,,,,,,,,,,,,
2149,184,05-10-2020,2020,2,80868,Closed,,,,,,,,,,,,,,
2159,185,02-06-2021,2021,4,90025,Closed,,,,,,,,,,,,,,
2160,186,22-02-2022,2022,0,13222,Open,,,,,,,,,,,,,,
2231,187,09-06-2021,2021,1,17701,Closed,,,,,,,,,,,,,,
2233,188,21-02-2019,2019,6,129368,Closed,,,,,,,,,,,,,,
2244,189,31-05-2025,2025,0,49638,Open,,,,,,,,,,,,,,
2261,190,03-09-2018,2018,4,110409,Closed,,,,,,,,,,,,,,
2270,191,25-08-2019,2019,2,55384,Open,,,,,,,,,,,,,,
2286,192,02-11-2024,2024,1,424265,Open,,,,,,,,,,,,,,
2287,193,31-12-2019,2019,3,15603,Closed,,,,,,,,,,,,,,
2319,194,12-02-2019,2019,4,13896,Open,,,,,,,,,,,,,,
2357,195,22-12-2023,2023,1,780030,Closed,,,,,,,,,,,,,,
2362,196,19-05-2022,2022,2,93495,Open,,,,,,,,,,,,,,
2375,197,05-04-2024,2024,0,67659,Closed,,,,,,,,,,,,,,
2386,198,13-08-2022,2022,1,109198,Open,,,,,,,,,,,,,,
2404,199,10-07-2021,2021,2,76503,Closed,,,,,,,,,,,,,,
2410,200,20-09-2018,2018,7,11310,Closed,,,,,,,,,,,,,,
2431,201,10-06-2023,2023,2,93958,Closed,,,,,,,,,,,,,,
2434,202,09-03-2021,2021,2,59311,Open,,,,,,,,,,,,,,
2441,203,25-05-2021,2021,2,75891,Open,,,,,,,,,,,,,,
2443,204,01-08-2024,2024,1,389375,Closed,,,,,,,,,,,,,,
2459,205,28-08-2021,2021,0,31679,Closed,,,,,,,,,,,,,,
2467,206,10-05-2023,2023,2,60572,Open,,,,,,,,,,,,,,
2473,207,10-05-2020,2020,3,14695,Closed,,,,,,,,,,,,,,
2475,208,28-11-2018,2018,5,23909,Closed,,,,,,,,,,,,,,
2477,209,21-06-2021,2021,1,107906,Open,,,,,,,,,,,,,,
2478,210,20-11-2024,2024,0,32087,Open,,,,,,,,,,,,,,
2481,211,26-06-2024,2024,0,58128,Open,,,,,,,,,,,,,,
2486,212,29-12-2024,2024,0,446956,Closed,,,,,,,,,,,,,,
2488,213,12-07-2021,2021,0,198798,Closed,,,,,,,,,,,,,,
2493,214,15-08-2021,2021,1,73065,Closed,,,,,,,,,,,,,,
2493,215,25-04-2021,2021,3,80432,Closed,,,,,,,,,,,,,,
2499,216,05-05-2019,2019,4,93382,Closed,,,,,,,,,,,,,,
2504,217,06-10-2025,2025,0,150830,Open,,,,,,,,,,,,,,
2509,218,23-08-2022,2022,0,124447,Open,,,,,,,,,,,,,,
2517,219,05-06-2021,2021,2,253902,Closed,,,,,,,,,,,,,,
2519,220,14-11-2023,2023,2,22379,Closed,,,,,,,,,,,,,,
2526,221,02-06-2021,2021,0,447787,Open,,,,,,,,,,,,,,
2540,222,18-10-2021,2021,3,173775,Closed,,,,,,,,,,,,,,
2568,223,17-08-2024,2024,1,72941,Open,,,,,,,,,,,,,,
2614,224,31-08-2025,2025,0,204322,Open,,,,,,,,,,,,,,
2630,225,21-10-2021,2021,3,282328,Closed,,,,,,,,,,,,,,
2636,226,03-12-2023,2023,1,84274,Open,,,,,,,,,,,,,,
2639,227,19-10-2021,2021,2,604080,Open,,,,,,,,,,,,,,
2639,228,08-09-2021,2021,2,63418,Closed,,,,,,,,,,,,,,
2640,229,30-07-2024,2024,1,75037,Open,,,,,,,,,,,,,,
2660,230,21-08-2021,2021,0,379192,Open,,,,,,,,,,,,,,
2676,231,14-12-2021,2021,4,51172,Open,,,,,,,,,,,,,,
2705,232,05-03-2019,2019,1,225625,Closed,,,,,,,,,,,,,,
2708,233,06-09-2018,2018,4,42161,Closed,,,,,,,,,,,,,,
2736,234,20-07-2022,2022,1,40806,Closed,,,,,,,,,,,,,,
2743,235,31-08-2023,2023,2,16222,Closed,,,,,,,,,,,,,,
2747,236,06-10-2019,2019,2,86762,Closed,,,,,,,,,,,,,,
2765,237,08-06-2019,2019,2,98490,Closed,,,,,,,,,,,,,,
2778,238,21-08-2022,2022,3,55255,Open,,,,,,,,,,,,,,
2785,239,04-11-2023,2023,2,274966,Open,,,,,,,,,,,,,,
2822,241,18-08-2025,2025,0,216791,Open,,,,,,,,,,,,,,
2822,240,27-11-2024,2024,0,68574,Open,,,,,,,,,,,,,,
2823,242,18-05-2018,2018,1,485663,Closed,,,,,,,,,,,,,,
2845,244,09-01-2023,2023,2,166239,Open,,,,,,,,,,,,,,
2845,243,12-11-2022,2022,2,9427,Closed,,,,,,,,,,,,,,
2882,245,24-11-2023,2023,1,264817,Closed,,,,,,,,,,,,,,
2883,246,02-12-2019,2019,6,22978,Closed,,,,,,,,,,,,,,
2890,247,01-04-2019,2019,3,4171,Closed,,,,,,,,,,,,,,
2902,248,05-05-2025,2025,0,56188,Open,,,,,,,,,,,,,,
2913,249,01-07-2025,2025,0,92291,Open,,,,,,,,,,,,,,
2920,250,29-06-2023,2023,1,69139,Open,,,,,,,,,,,,,,
2934,251,16-04-2024,2024,1,78951,Open,,,,,,,,,,,,,,
2963,252,02-12-2022,2022,2,28058,Open,,,,,,,,,,,,,,
2965,253,25-09-2023,2023,2,10455,Closed,,,,,,,,,,,,,,
2975,254,03-02-2020,2020,0,104927,Closed,,,,,,,,,,,,,,
2978,255,29-11-2020,2020,3,93158,Closed,,,,,,,,,,,,,,
2998,256,28-04-2020,2020,0,20564,Closed,,,,,,,,,,,,,,
3008,257,17-09-2019,2019,1,70528,Closed,,,,,,,,,,,,,,
3017,258,24-05-2024,2024,1,94843,Closed,,,,,,,,,,,,,,
3027,259,03-08-2021,2021,0,22344,Open,,,,,,,,,,,,,,
3035,260,19-07-2020,2020,2,154288,Closed,,,,,,,,,,,,,,
3037,261,07-08-2019,2019,3,51961,Closed,,,,,,,,,,,,,,
3043,262,21-10-2020,2020,5,53804,Closed,,,,,,,,,,,,,,
3053,263,01-05-2024,2024,0,56531,Open,,,,,,,,,,,,,,
3061,264,18-06-2024,2024,0,71920,Closed,,,,,,,,,,,,,,
3066,265,29-04-2023,2023,1,298270,Closed,,,,,,,,,,,,,,
3067,266,09-04-2019,2019,5,28638,Closed,,,,,,,,,,,,,,
3096,267,10-01-2019,2019,3,92006,Closed,,,,,,,,,,,,,,
3097,268,27-09-2021,2021,4,34494,Closed,,,,,,,,,,,,,,
3138,269,26-02-2024,2024,1,81086,Open,,,,,,,,,,,,,,
3144,270,10-03-2025,2025,0,336280,Closed,,,,,,,,,,,,,,
3145,271,28-03-2022,2022,1,119415,Open,,,,,,,,,,,,,,
3165,272,08-08-2022,2022,2,326341,Open,,,,,,,,,,,,,,
3174,273,14-09-2021,2021,3,55479,Open,,,,,,,,,,,,,,
3176,274,16-05-2024,2024,1,327306,Open,,,,,,,,,,,,,,
3184,275,14-04-2021,2021,1,166667,Closed,,,,,,,,,,,,,,
3192,276,04-02-2022,2022,0,41861,Closed,,,,,,,,,,,,,,
3223,277,02-08-2020,2020,3,616641,Closed,,,,,,,,,,,,,,
3233,278,12-03-2019,2019,6,172305,Closed,,,,,,,,,,,,,,
3237,279,27-03-2018,2018,2,361780,Closed,,,,,,,,,,,,,,
3264,280,08-06-2022,2022,2,212971,Closed,,,,,,,,,,,,,,
3271,281,29-07-2022,2022,1,227374,Closed,,,,,,,,,,,,,,
3285,282,17-10-2024,2024,1,431062,Closed,,,,,,,,,,,,,,
3290,283,21-07-2024,2024,0,99928,Closed,,,,,,,,,,,,,,
3293,284,07-01-2021,2021,1,100987,Closed,,,,,,,,,,,,,,
3322,285,27-09-2024,2024,0,22065,Open,,,,,,,,,,,,,,
3331,286,08-03-2023,2023,1,110298,Open,,,,,,,,,,,,,,
3351,287,15-04-2024,2024,0,118840,Open,,,,,,,,,,,,,,
3362,288,27-09-2024,2024,0,26693,Closed,,,,,,,,,,,,,,
3368,289,24-04-2025,2025,0,61510,Closed,,,,,,,,,,,,,,
3376,290,29-01-2022,2022,1,23622,Closed,,,,,,,,,,,,,,
3379,291,01-10-2023,2023,1,640223,Closed,,,,,,,,,,,,,,
3385,292,22-09-2024,2024,1,6831,Closed,,,,,,,,,,,,,,
3385,293,12-10-2024,2024,0,38315,Closed,,,,,,,,,,,,,,
3400,294,30-03-2022,2022,1,22005,Open,,,,,,,,,,,,,,
3411,295,23-08-2021,2021,4,30269,Closed,,,,,,,,,,,,,,
3412,296,26-06-2023,2023,1,105393,Closed,,,,,,,,,,,,,,
3415,297,07-03-2021,2021,3,63275,Closed,,,,,,,,,,,,,,
3417,298,17-03-2025,2025,0,238656,Open,,,,,,,,,,,,,,
3419,299,25-10-2018,2018,0,272273,Closed,,,,,,,,,,,,,,
3421,300,22-11-2019,2019,2,69988,Closed,,,,,,,,,,,,,,
3427,301,08-10-2018,2018,1,7207,Closed,,,,,,,,,,,,,,
3435,302,30-01-2019,2019,1,134526,Closed,,,,,,,,,,,,,,
3446,303,26-08-2019,2019,1,28825,Closed,,,,,,,,,,,,,,
3447,304,20-01-2020,2020,5,457319,Closed,,,,,,,,,,,,,,
3449,305,31-03-2019,2019,4,42981,Closed,,,,,,,,,,,,,,
3456,306,18-09-2018,2018,0,32050,Closed,,,,,,,,,,,,,,
3469,307,30-05-2020,2020,2,55789,Closed,,,,,,,,,,,,,,
3470,308,09-07-2022,2022,3,28496,Closed,,,,,,,,,,,,,,
3498,309,20-09-2024,2024,0,34877,Open,,,,,,,,,,,,,,
3518,310,02-12-2021,2021,1,110075,Open,,,,,,,,,,,,,,
3543,311,11-07-2023,2023,0,74899,Open,,,,,,,,,,,,,,
3547,313,08-03-2024,2024,0,73484,Closed,,,,,,,,,,,,,,
3547,312,15-08-2023,2023,1,123809,Closed,,,,,,,,,,,,,,
3559,314,05-06-2025,2025,0,5493,Closed,,,,,,,,,,,,,,
3577,315,19-09-2022,2022,0,95376,Open,,,,,,,,,,,,,,
3618,316,02-04-2020,2020,4,927919,Closed,,,,,,,,,,,,,,
3625,317,23-03-2022,2022,1,33846,Closed,,,,,,,,,,,,,,
3639,318,12-04-2023,2023,0,101441,Closed,,,,,,,,,,,,,,
3651,319,22-02-2021,2021,3,86323,Open,,,,,,,,,,,,,,
3656,320,22-04-2024,2024,1,85124,Open,,,,,,,,,,,,,,
3662,321,29-07-2025,2025,0,144819,Open,,,,,,,,,,,,,,
3672,322,09-05-2020,2020,4,19500,Closed,,,,,,,,,,,,,,
3673,323,13-06-2023,2023,2,154244,Closed,,,,,,,,,,,,,,
3679,324,29-09-2022,2022,3,66671,Open,,,,,,,,,,,,,,
3681,325,13-07-2021,2021,2,349082,Open,,,,,,,,,,,,,,
3682,326,09-11-2020,2020,2,158143,Closed,,,,,,,,,,,,,,
3698,327,30-08-2020,2020,2,123090,Closed,,,,,,,,,,,,,,
3705,328,17-11-2018,2018,3,181935,Closed,,,,,,,,,,,,,,
3716,329,21-12-2022,2022,1,163433,Open,,,,,,,,,,,,,,
3750,330,06-09-2023,2023,2,464107,Open,,,,,,,,,,,,,,
3754,331,26-06-2025,2025,0,36415,Closed,,,,,,,,,,,,,,
3771,332,03-11-2020,2020,0,33652,Closed,,,,,,,,,,,,,,
3774,334,18-01-2022,2022,1,59531,Closed,,,,,,,,,,,,,,
3774,333,02-09-2021,2021,3,47538,Closed,,,,,,,,,,,,,,
3784,335,02-02-2023,2023,2,146079,Closed,,,,,,,,,,,,,,
3794,336,05-10-2018,2018,1,50463,Closed,,,,,,,,,,,,,,
3795,337,07-09-2024,2024,1,290860,Open,,,,,,,,,,,,,,
3798,338,06-04-2021,2021,4,68699,Closed,,,,,,,,,,,,,,
3812,339,24-12-2018,2018,1,122817,Closed,,,,,,,,,,,,,,
3843,340,04-08-2023,2023,2,52907,Closed,,,,,,,,,,,,,,
3862,341,24-04-2019,2019,3,107239,Closed,,,,,,,,,,,,,,
3902,342,18-01-2022,2022,2,19445,Closed,,,,,,,,,,,,,,
3933,343,20-02-2019,2019,0,239182,Closed,,,,,,,,,,,,,,
3950,344,23-06-2021,2021,3,66157,Closed,,,,,,,,,,,,,,
3967,345,16-01-2024,2024,0,111495,Open,,,,,,,,,,,,,,
3972,346,12-11-2018,2018,4,42335,Closed,,,,,,,,,,,,,,
3972,347,15-10-2018,2018,2,109547,Closed,,,,,,,,,,,,,,
3976,348,23-12-2020,2020,5,75324,Closed,,,,,,,,,,,,,,
3983,349,26-02-2024,2024,0,86198,Open,,,,,,,,,,,,,,
3990,350,18-07-2023,2023,1,53299,Open,,,,,,,,,,,,,,
3999,351,20-09-2025,2025,0,74672,Open,,,,,,,,,,,,,,
4031,352,21-05-2025,2025,0,82363,Closed,,,,,,,,,,,,,,
4040,353,23-09-2018,2018,6,78453,Closed,,,,,,,,,,,,,,
4050,354,16-08-2023,2023,1,26122,Closed,,,,,,,,,,,,,,
4060,355,20-11-2020,2020,5,65968,Closed,,,,,,,,,,,,,,
4085,356,08-02-2021,2021,0,279248,Closed,,,,,,,,,,,,,,
4095,357,24-12-2022,2022,3,59161,Closed,,,,,,,,,,,,,,
4096,358,06-10-2020,2020,3,29372,Open,,,,,,,,,,,,,,
4099,359,10-12-2024,2024,1,388023,Closed,,,,,,,,,,,,,,
4134,360,27-01-2020,2020,4,113964,Closed,,,,,,,,,,,,,,
4168,361,31-05-2020,2020,0,59729,Closed,,,,,,,,,,,,,,
4171,362,04-05-2022,2022,1,52104,Closed,,,,,,,,,,,,,,
4176,363,03-02-2022,2022,3,204675,Open,,,,,,,,,,,,,,
4177,364,29-01-2024,2024,1,15823,Open,,,,,,,,,,,,,,
4189,365,17-07-2019,2019,6,89730,Closed,,,,,,,,,,,,,,
4205,366,07-12-2022,2022,3,90692,Open,,,,,,,,,,,,,,
4227,367,11-12-2024,2024,1,77530,Open,,,,,,,,,,,,,,
4228,369,11-09-2021,2021,2,73448,Open,,,,,,,,,,,,,,
4228,368,21-05-2021,2021,4,50846,Closed,,,,,,,,,,,,,,
4229,370,27-06-2024,2024,1,5556,Open,,,,,,,,,,,,,,
4243,371,30-03-2019,2019,0,10578,Closed,,,,,,,,,,,,,,
