accident_year,development_year,paid_amount,case_reserve
2023,1.0,6669,80652
2023,1.0,6298,74354
2023,1.0,6383,67971
2023,1.0,24384,43587
2023,1.0,31683,11904
2021,2.0,31926,87190
2021,2.0,48634,38556
2021,2.0,7045,31511
2021,2.0,29655,1856
2021,2.0,1856,0
2021,3.0,1965,16410
2021,3.0,4407,12003
2021,3.0,5975,6028
2021,3.0,6028,0
2021,3.0,32826,0
2021,1.0,134524,449522
2021,1.0,73783,375739
2021,1.0,88180,287559
2021,1.0,48668,238891
2021,1.0,114904,123987
2021,1.0,26308,97679
2023,1.0,39203,94731
2025,0.0,51398,168835
2025,0.0,5940,162895
2025,0.0,49101,113794
2025,0.0,113794,0
2019,6.0,33869,45196
2019,6.0,45196,0
2025,0.0,1005,21952
2025,0.0,17628,4324
2025,0.0,4324,0
2022,2.0,2924,17225
2022,2.0,9013,8212
2022,2.0,2085,6127
2023,1.0,373825,78927
2018,3.0,15999,348681
2018,3.0,11700,336981
2018,3.0,68869,268112
2018,3.0,196190,71922
2018,3.0,71922,0
2023,0.0,21157,35366
2023,0.0,35366,0
2024,1.0,3918,10637
2019,1.0,21931,50081
2020,1.0,49907,0
2025,0.0,15063,111006
2025,0.0,7716,103290
2025,0.0,11023,92267
2025,0.0,1380,90887
2025,0.0,2643,88244
2021,4.0,90620,0
2024,0.0,3935,130611
2024,0.0,18640,111971
2024,0.0,904,111067
2024,0.0,8549,102518
2024,0.0,18994,83524
2024,0.0,30280,53244
2024,1.0,30198,216018
2024,1.0,54375,161643
2024,1.0,42126,119517
2024,1.0,5244,114273
2024,1.0,71551,42722
2024,1.0,1221,5508
2024,1.0,542,4966
2024,1.0,1418,3548
2024,1.0,793,2755
2024,1.0,35,2720
2024,1.0,859,1861
2021,3.0,153179,33776
2021,3.0,33776,0
2019,3.0,5914,16703
2019,3.0,16703,0
2023,2.0,25382,5486
2018,5.0,7193,33575
2018,5.0,16318,17257
2018,5.0,17257,0
2018,1.0,18049,178249
2018,1.0,9220,169029
2018,1.0,9114,159915
2018,1.0,21475,138440
2018,1.0,1354,137086
2018,2.0,16735,35661
2018,2.0,14272,21389
2018,2.0,21389,0
2024,0.0,2570,4569
2024,0.0,3227,1342
2024,0.0,1342,0
2022,3.0,61158,362354
2022,3.0,23309,339045
2022,3.0,24182,314863
2022,3.0,10211,304652
2022,3.0,75608,229044
2021,3.0,32606,0
2018,3.0,120938,157326
2018,3.0,46206,111120
2018,3.0,99119,12001
2018,3.0,12001,0
2020,1.0,1299,29341
2020,1.0,5292,24049
2020,1.0,1413,22636
2025,0.0,120422,0
2021,0.0,73797,0
2025,0.0,27135,0
2020,0.0,378,22637
2020,0.0,6319,16318
2020,0.0,5373,10945
2023,1.0,54544,6846
2021,3.0,211521,318340
2021,3.0,169205,149135
2021,3.0,37270,111865
2021,3.0,111865,0
2021,2.0,2147,73832
2021,2.0,17151,56681
2021,2.0,8938,47743
2021,2.0,14140,33603
2021,2.0,16614,16989
2021,2.0,16989,0
2020,4.0,37904,12433
2020,4.0,12433,0
2018,6.0,13739,17628
2018,6.0,4977,12651
2018,6.0,853,11798
2018,6.0,11798,0
2024,1.0,9535,11058
2024,1.0,1437,9621
2024,1.0,1866,7755
2024,1.0,7755,0
2021,2.0,72697,128657
2023,0.0,4840,75486
2023,0.0,7599,67887
2023,0.0,25291,42596
2023,0.0,5636,36960
2023,0.0,5812,31148
2021,4.0,3338,10618
2021,4.0,1502,9116
2021,4.0,9116,0
2019,3.0,100545,211906
2019,3.0,61359,150547
2019,3.0,32291,118256
2019,3.0,100899,17357
2019,3.0,11644,5713
2019,3.0,5713,0
2021,2.0,17981,1350
2021,2.0,1350,0
2023,2.0,66109,29823
2023,2.0,12012,17811
2023,2.0,17811,0
2023,1.0,76804,77588
2023,0.0,25593,31182
2023,0.0,14534,16648
2023,0.0,5340,11308
2023,0.0,1908,9400
2023,0.0,1771,7629
2023,2.0,25150,21468
2024,1.0,4742,29217
2024,1.0,2968,26249
2024,1.0,1433,24816
2024,1.0,1828,22988
2024,1.0,2630,20358
2024,1.0,3515,16843
2021,0.0,25324,42842
2021,0.0,7420,35422
2021,0.0,2794,32628
2021,0.0,10503,22125
2021,0.0,5760,16365
2021,0.0,16365,0
2021,4.0,5623,64898
2021,4.0,27208,37690
2021,4.0,27017,10673
2021,4.0,10673,0
2021,1.0,24293,19484
2020,5.0,65577,0
2024,1.0,3415,117145
2024,1.0,8787,108358
2024,1.0,16050,92308
2024,1.0,7478,84830
2025,0.0,4781,15438
2025,0.0,4387,11051
2022,0.0,8043,16642
2022,0.0,742,15900
2022,0.0,15900,0
2024,0.0,5919,139828
2024,0.0,10482,129346
2024,0.0,32677,96669
2024,0.0,6798,89871
2024,0.0,13838,76033
2018,6.0,213,10976
2018,6.0,2062,8914
2018,6.0,254,8660
2018,6.0,1026,7634
2018,6.0,3154,4480
2018,3.0,8372,86121
2018,3.0,63655,22466
2018,3.0,22466,0
2021,0.0,1468,28030
2021,0.0,3431,24599
2021,0.0,3597,21002
2021,0.0,15686,5316
2021,0.0,5168,148
2021,0.0,148,0
2022,1.0,77494,54073
2022,1.0,54073,0
2019,0.0,1876,34156
2019,0.0,1729,32427
2019,0.0,20056,12371
2019,0.0,12371,0
2023,2.0,64600,16170
2023,2.0,905,29464
2023,2.0,290,29174
2023,2.0,6283,22891
2023,2.0,6506,16385
2023,2.0,12689,3696
2023,2.0,3696,0
2022,0.0,43648,30850
2022,0.0,30850,0
2019,4.0,92520,13014
2019,4.0,13014,0
2025,0.0,47421,207610
2025,0.0,5851,201759
2025,0.0,18618,183141
2025,0.0,7554,175587
2025,0.0,127991,47596
2020,3.0,6528,28207
2020,3.0,17038,11169
2020,3.0,11169,0
2021,0.0,49067,0
2020,2.0,3471,12266
2023,2.0,4310,109354
2023,2.0,5937,103417
2023,2.0,3683,99734
2023,2.0,1357,98377
2023,2.0,5143,93234
2023,2.0,22366,70868
2019,5.0,28310,176055
2019,5.0,44994,131061
2019,5.0,96817,34244
2019,5.0,34244,0
2024,0.0,2028,56319
2024,0.0,7148,49171
2024,0.0,4204,44967
2019,6.0,30,12713
2019,6.0,757,11956
2019,6.0,7153,4803
2019,6.0,2822,1981
2019,6.0,1981,0
2018,7.0,18321,95093
2018,7.0,34697,60396
2018,7.0,60396,0
2020,5.0,135431,143501
2020,5.0,60598,82903
2020,5.0,82903,0
2023,1.0,28383,66418
2023,1.0,35898,30520
2023,1.0,5369,25151
2023,1.0,5416,19735
2023,1.0,19735,0
2023,1.0,4164,103865
2023,1.0,6097,97768
2023,1.0,14105,83663
2023,1.0,5953,77710
2023,1.0,3276,21929
2023,1.0,5745,16184
2023,1.0,1793,14391
2023,1.0,2173,12218
2023,1.0,7979,4239
2023,1.0,4239,0
2023,0.0,106331,41362
2023,0.0,41362,0
2024,0.0,30122,105945
2024,0.0,15750,90195
2024,0.0,30478,59717
2024,0.0,59717,0
2022,2.0,73032,119016
2022,2.0,50326,68690
2019,6.0,287097,0
2020,4.0,3858,65045
2020,4.0,10694,54351
2020,4.0,607,53744
2020,4.0,11997,41747
2020,4.0,22251,19496
2020,4.0,19496,0
2018,4.0,3120,6537
2018,4.0,4855,1682
2018,4.0,1682,0
2021,3.0,8927,5434
2021,3.0,4856,578
2021,3.0,578,0
2022,3.0,2429,5903
2021,1.0,8995,36608
2021,1.0,2735,33873
2021,1.0,24305,9568
2021,1.0,9568,0
2021,4.0,9447,88473
2021,4.0,18174,70299
2021,4.0,14903,55396
2021,4.0,15674,39722
2019,4.0,22763,107033
2019,4.0,17055,89978
2019,4.0,8236,81742
2019,4.0,33508,48234
2019,4.0,48234,0
2022,2.0,9095,35569
2022,2.0,15298,20271
2022,2.0,2763,17508
2022,2.0,2102,15406
2022,2.0,10025,5381
2022,2.0,5381,0
2018,7.0,347116,0
2019,5.0,9372,143895
2019,5.0,4391,139504
2019,5.0,24614,114890
2019,5.0,10533,104357
2019,5.0,8003,96354
2019,5.0,96354,0
2019,1.0,20014,37224
2019,1.0,32448,4776
2019,1.0,4776,0
2020,3.0,6423,14805
2020,3.0,1855,12950
2020,3.0,2859,10091
2020,3.0,7773,2318
2020,3.0,2318,0
2025,0.0,57174,369268
2025,0.0,53446,315822
2025,0.0,42828,272994
2025,0.0,24479,248515
2025,0.0,82054,166461
2025,0.0,131544,93985
2024,1.0,2688,37642
2024,1.0,28537,9105
2024,1.0,1929,7176
2020,1.0,129537,281095
2020,1.0,33545,247550
2020,1.0,34938,212612
2020,1.0,93127,119485
2020,1.0,119485,0
2019,6.0,34896,100328
2019,6.0,16601,83727
2019,6.0,14833,68894
2019,6.0,47300,21594
2019,6.0,13752,7842
2019,6.0,7842,0
2024,0.0,11806,159518
2024,0.0,456,159062
2024,0.0,17219,141843
2024,0.0,18587,123256
2024,0.0,10452,112804
2020,5.0,27161,191336
2020,5.0,85585,105751
2020,5.0,558,105193
2020,5.0,69100,36093
2020,5.0,27046,9047
2020,5.0,9047,0
2021,3.0,5994,62535
2021,3.0,22610,39925
2021,3.0,12476,27449
2021,3.0,21694,5755
2021,3.0,5755,0
2018,0.0,18394,40030
2018,0.0,10425,29605
2018,0.0,7785,21820
2018,0.0,21820,0
2021,1.0,222705,576675
2021,1.0,576675,0
2019,2.0,6384,197113
2019,2.0,53343,143770
2019,2.0,35782,107988
2019,2.0,4205,103783
2019,2.0,61917,41866
2019,2.0,41866,0
2020,2.0,77358,0
2020,2.0,5874,66876
2020,2.0,25077,41799
2020,2.0,13842,27957
2020,2.0,27957,0
2019,3.0,66542,66895
2019,3.0,14809,52086
2019,3.0,10020,42066
2019,3.0,31584,10482
2019,3.0,4648,5834
2019,3.0,5834,0
2018,0.0,25518,0
2020,1.0,48275,0
2018,3.0,10983,56897
2018,3.0,31054,25843
2018,3.0,6279,19564
2018,3.0,9248,10316
2018,3.0,10316,0
2025,0.0,5383,178068
2025,0.0,17318,160750
2025,0.0,22228,138522
2024,0.0,9325,52065
2024,0.0,955,51110
2024,0.0,7180,43930
2024,0.0,23404,20526
2019,0.0,5794,45343
2019,0.0,8937,36406
2019,0.0,14448,21958
2019,0.0,5739,16219
2019,0.0,16219,0
2024,1.0,60727,103082
2024,1.0,50433,52649
2024,1.0,38579,14070
2024,1.0,14070,0
2022,3.0,12344,0
2022,2.0,42650,22657
2022,2.0,22657,0
2023,0.0,729211,0
2023,0.0,2385,38421
2023,0.0,16751,21670
2023,0.0,12939,8731
2023,0.0,3565,5166
2023,0.0,5166,0
2022,1.0,41200,253135
2022,1.0,81477,171658
2022,1.0,52148,119510
2022,1.0,9414,110096
2022,1.0,1670,108426
2022,1.0,108426,0
2025,0.0,34458,32974
2021,1.0,3438,21112
2021,1.0,2745,18367
2021,1.0,8018,10349
2021,1.0,3535,6814
2021,1.0,6814,0
2021,3.0,3868,99036
2021,3.0,13566,85470
2021,3.0,7195,78275
2021,3.0,62597,15678
2021,3.0,15678,0
2024,0.0,15564,69618
2024,0.0,1857,67761
2024,0.0,12395,55366
2024,0.0,41245,14121
2023,1.0,111489,143652
2023,1.0,94177,49475
2023,1.0,22638,26837
2023,1.0,1349,25488
2023,1.0,25488,0
2019,3.0,11643,51696
2019,3.0,28780,22916
2019,3.0,22916,0
2023,2.0,17688,2406
2020,2.0,9050,95545
2020,2.0,47017,48528
2020,2.0,22552,25976
2020,2.0,25976,0
2021,0.0,23799,69144
2021,0.0,7262,61882
2021,0.0,693,61189
2021,0.0,16831,44358
2021,0.0,6344,38014
2021,0.0,7474,30540
2024,0.0,16460,72526
2024,0.0,9148,63378
2024,0.0,2424,60954
2024,0.0,16818,44136
2024,0.0,2277,41859
2019,6.0,7,2788
2019,6.0,1705,1083
2019,6.0,426,657
2019,6.0,330,327
2022,3.0,1360,2546
2022,3.0,42,2504
2022,3.0,654,1850
2022,3.0,964,886
2022,3.0,886,0
2020,5.0,2177,3005
2020,5.0,1207,1798
2020,5.0,606,1192
2020,5.0,1192,0
2020,2.0,37013,43855
2020,2.0,21484,22371
2020,2.0,22371,0
2021,4.0,90025,0
2022,0.0,2265,10957
2022,0.0,4155,6802
2021,1.0,17701,0
2019,6.0,115478,13890
2019,6.0,13890,0
2025,0.0,15890,33748
2019,2.0,29300,26084
2019,2.0,9752,16332
2019,2.0,838,15494
2019,2.0,4471,11023
2024,1.0,20625,403640
2024,1.0,38907,364733
2024,1.0,1656,363077
2024,1.0,34891,328186
2024,1.0,3664,324522
2024,1.0,37670,286852
2019,3.0,7869,7734
2019,3.0,1071,6663
2019,3.0,2888,3775
2019,3.0,631,3144
2019,3.0,3144,0
2019,4.0,3581,10315
2023,1.0,780030,0
2022,2.0,895,92600
2022,2.0,21349,71251
2022,2.0,8981,62270
2024,0.0,29046,38613
2024,0.0,38613,0
2022,1.0,15778,93420
2022,1.0,26685,66735
2021,2.0,39896,36607
2021,2.0,15836,20771
2021,2.0,20771,0
2018,7.0,121,11189
2018,7.0,4549,6640
2018,7.0,4751,1889
2018,7.0,881,1008
2018,7.0,1008,0
2023,2.0,5268,88690
2023,2.0,88690,0
2021,2.0,7575,51736
2021,2.0,30267,21469
2021,2.0,14539,6930
2021,2.0,11063,64828
2021,2.0,8163,56665
2021,2.0,18630,38035
2021,2.0,30384,7651
2024,1.0,342920,46455
2024,1.0,46455,0
2021,0.0,31679,0
2023,2.0,4775,55797
2023,2.0,13396,42401
2023,2.0,4662,37739
2023,2.0,2613,35126
2023,2.0,3029,32097
2023,2.0,12232,19865
2020,3.0,1468,13227
2020,3.0,423,12804
2020,3.0,3138,9666
2020,3.0,6345,3321
2020,3.0,3321,0
2018,5.0,4888,19021
2018,5.0,11071,7950
2018,5.0,5176,2774
2018,5.0,2774,0
2021,1.0,42358,65548
2024,0.0,19286,12801
2024,0.0,17931,40197
2024,0.0,22549,17648
2024,0.0,2626,15022
2024,0.0,109504,337452
2024,0.0,27561,309891
2024,0.0,309891,0
2021,0.0,24500,174298
2021,0.0,15304,158994
2021,0.0,95764,63230
2021,0.0,63230,0
2021,1.0,24222,48843
2021,1.0,7651,41192
2021,1.0,14481,26711
2021,1.0,26711,0
2021,3.0,80432,0
2019,4.0,11613,81769
2019,4.0,36648,45121
2019,4.0,17052,28069
2019,4.0,28069,0
2025,0.0,1649,149181
2025,0.0,4314,144867
2025,0.0,26513,118354
2025,0.0,5193,113161
2025,0.0,19625,93536
2025,0.0,21354,72182
2022,0.0,28196,96251
2022,0.0,65135,31116
2021,2.0,85574,168328
2021,2.0,25646,142682
2021,2.0,139241,3441
2021,2.0,3441,0
2023,2.0,4387,17992
2023,2.0,11663,6329
2023,2.0,6329,0
2021,0.0,15028,432759
2021,0.0,42730,390029
2021,0.0,17574,372455
2021,0.0,6948,365507
2021,0.0,70429,295078
2021,0.0,27225,267853
2021,3.0,38004,135771
2021,3.0,37214,98557
2021,3.0,26746,71811
2021,3.0,19570,52241
2021,3.0,6605,45636
2021,3.0,45636,0
2024,1.0,22570,50371
2025,0.0,40717,163605
2025,0.0,17463,146142
2025,0.0,36285,109857
2025,0.0,20309,89548
2025,0.0,15314,74234
2021,3.0,100251,182077
2021,3.0,182077,0
2023,1.0,52231,32043
2023,1.0,23397,8646
2021,2.0,246559,357521
2021,2.0,160829,196692
2021,2.0,24376,39042
2021,2.0,9546,29496
2021,2.0,19380,10116
2021,2.0,10116,0
2024,1.0,8206,66831
2024,1.0,8385,58446
2024,1.0,25658,32788
2024,1.0,20008,12780
2024,1.0,4732,8048
2021,0.0,311208,67984
2021,0.0,22299,45685
2021,4.0,14069,37103
2021,4.0,2588,34515
2019,1.0,71048,154577
2019,1.0,44706,109871
2019,1.0,17297,92574
2019,1.0,37817,54757
2019,1.0,40907,13850
2019,1.0,13850,0
2018,4.0,8691,33470
2018,4.0,188,33282
2018,4.0,4359,28923
2018,4.0,10697,18226
2018,4.0,18226,0
2022,1.0,5413,35393
2022,1.0,9440,25953
2022,1.0,7132,18821
2022,1.0,7154,11667
2022,1.0,922,10745
2022,1.0,10745,0
2023,2.0,16222,0
2019,2.0,53000,33762
2019,2.0,1820,31942
2019,2.0,993,30949
2019,2.0,30949,0
2019,2.0,18494,79996
2019,2.0,79996,0
2022,3.0,6640,48615
2022,3.0,32262,16353
2022,3.0,1297,15056
2022,3.0,7942,7114
2023,2.0,33196,241770
2023,2.0,15054,226716
2023,2.0,38349,188367
2023,2.0,56860,131507
2023,2.0,20938,110569
2023,2.0,10069,100500
2025,0.0,63063,153728
2025,0.0,2861,150867
2025,0.0,19538,131329
2025,0.0,91867,39462
2024,0.0,37929,30645
2024,0.0,3227,27418
2018,1.0,36340,449323
2018,1.0,18800,430523
2018,1.0,130070,300453
2018,1.0,57747,242706
2018,1.0,109526,133180
2018,1.0,133180,0
2023,2.0,44134,122105
2023,2.0,34094,88011
2023,2.0,8645,79366
2023,2.0,5352,74014
2023,2.0,26630,47384
2022,2.0,1508,7919
2022,2.0,500,7419
2022,2.0,355,7064
2022,2.0,3771,3293
2022,2.0,2800,493
2022,2.0,493,0
2023,1.0,28036,236781
2023,1.0,36961,199820
2023,1.0,13162,186658
2023,1.0,36931,149727
2023,1.0,121700,28027
2023,1.0,28027,0
2019,6.0,4848,18130
2019,6.0,4912,13218
2019,6.0,13218,0
2019,3.0,2507,1664
2019,3.0,547,1117
2019,3.0,1018,99
2019,3.0,99,0
2025,0.0,27396,28792
2025,0.0,20067,8725
2025,0.0,7520,84771
2025,0.0,7348,77423
2025,0.0,12489,64934
2025,0.0,640,64294
2025,0.0,10398,53896
2023,1.0,12543,56596
2023,1.0,10228,46368
2023,1.0,5831,40537
2023,1.0,2482,38055
2024,1.0,8488,70463
2024,1.0,38379,32084
2022,2.0,9462,18596
2023,2.0,3122,7333
2023,2.0,3228,4105
2023,2.0,748,3357
2023,2.0,3357,0
2020,0.0,32105,72822
2020,0.0,42159,30663
2020,0.0,14972,15691
2020,0.0,15691,0
2020,3.0,53897,39261
2020,3.0,2049,37212
2020,3.0,1266,35946
2020,3.0,16395,19551
2020,3.0,9833,9718
2020,3.0,9718,0
2020,0.0,8174,12390
2020,0.0,12390,0
2019,1.0,15962,54566
2019,1.0,8857,45709
2019,1.0,45709,0
2024,1.0,26987,67856
2024,1.0,31517,36339
2024,1.0,36339,0
2021,0.0,8951,13393
2020,2.0,3480,150808
2020,2.0,130449,20359
2020,2.0,20359,0
2019,3.0,19861,32100
2019,3.0,13263,18837
2019,3.0,16344,2493
2019,3.0,2493,0
2020,5.0,53804,0
2024,0.0,2582,53949
2024,0.0,2567,51382
2024,0.0,12752,38630
2024,0.0,5536,33094
2024,0.0,14733,57187
2024,0.0,15608,41579
2024,0.0,36983,4596
2024,0.0,4596,0
2023,1.0,158613,139657
2023,1.0,19794,119863
2023,1.0,18800,101063
2023,1.0,66880,34183
2023,1.0,34183,0
2019,5.0,4858,23780
2019,5.0,5329,18451
2019,5.0,1727,16724
2019,5.0,7492,9232
2019,5.0,6950,2282
2019,5.0,2282,0
2019,3.0,18296,73710
2019,3.0,23897,49813
2019,3.0,30557,19256
2019,3.0,1819,17437
2019,3.0,3347,14090
2019,3.0,14090,0
2021,4.0,8933,25561
2021,4.0,25561,0
2024,1.0,9137,71949
2024,1.0,13935,58014
2025,0.0,69367,266913
2025,0.0,129491,137422
2025,0.0,30007,107415
2025,0.0,75913,31502
2025,0.0,16297,15205
2025,0.0,15205,0
2022,1.0,10925,108490
2022,1.0,17084,91406
2022,1.0,6141,85265
2022,1.0,12391,72874
2022,2.0,5739,320602
2022,2.0,24084,296518
2022,2.0,13930,282588
2022,2.0,32269,250319
2022,2.0,30055,220264
2022,2.0,22586,197678
2021,3.0,3202,52277
2021,3.0,16614,35663
2021,3.0,702,34961
2024,1.0,7497,319809
2024,1.0,84368,235441
2024,1.0,7592,227849
2021,1.0,166667,0
2022,0.0,13421,28440
2022,0.0,28440,0
2020,3.0,278442,338199
2020,3.0,338199,0
2019,6.0,18585,153720
2019,6.0,18293,135427
2019,6.0,30393,105034
2019,6.0,56080,48954
2019,6.0,36427,12527
2019,6.0,12527,0
2018,2.0,361780,0
2022,2.0,212971,0
2022,1.0,227374,0
2024,1.0,431062,0
2024,0.0,40338,59590
2024,0.0,59590,0
2021,1.0,28979,72008
2021,1.0,2219,69789
2021,1.0,2961,66828
2021,1.0,54056,12772
2021,1.0,6576,6196
2021,1.0,6196,0
2024,0.0,1657,20408
2024,0.0,4550,15858
2024,0.0,3252,12606
2024,0.0,1965,10641
2024,0.0,1067,9574
2023,1.0,20543,89755
2023,1.0,23631,66124
2024,0.0,18169,100671
2024,0.0,1985,98686
2024,0.0,2168,96518
2024,0.0,2696,93822
2024,0.0,8924,84898
2024,0.0,26693,0
2025,0.0,2036,59474
2025,0.0,1357,58117
2025,0.0,12905,45212
2025,0.0,19988,25224
2025,0.0,25224,0
2022,1.0,220,23402
2022,1.0,561,22841
2022,1.0,2430,20411
2022,1.0,9628,10783
2022,1.0,2018,8765
2022,1.0,8765,0
2023,1.0,566133,74090
2023,1.0,74090,0
2024,1.0,1270,5561
2024,1.0,2657,2904
2024,1.0,2367,537
2024,1.0,537,0
2024,0.0,9638,28677
2024,0.0,5455,23222
2024,0.0,8383,14839
2024,0.0,14839,0
2022,1.0,3742,18263
2022,1.0,3044,15219
2022,1.0,4164,11055
2022,1.0,6557,4498
2022,1.0,547,3951
2021,4.0,10136,20133
2021,4.0,490,19643
2021,4.0,5164,14479
2021,4.0,1463,13016
2021,4.0,3086,9930
2021,4.0,9930,0
2023,1.0,105393,0
2021,3.0,13615,49660
2021,3.0,12337,37323
2021,3.0,37323,0
2025,0.0,162041,76615
2025,0.0,32564,44051
2018,0.0,16096,256177
2018,0.0,23413,232764
2018,0.0,12648,220116
2018,0.0,97096,123020
2018,0.0,50262,72758
2018,0.0,72758,0
2019,2.0,18620,51368
2019,2.0,8030,43338
2019,2.0,13760,29578
2019,2.0,496,29082
2019,2.0,13852,15230
2019,2.0,15230,0
2018,1.0,7207,0
2019,1.0,53257,81269
2019,1.0,34659,46610
2019,1.0,46610,0
2019,1.0,6904,21921
2019,1.0,21921,0
2020,5.0,457319,0
2019,4.0,7959,35022
2019,4.0,586,34436
2019,4.0,24806,9630
2019,4.0,731,8899
2019,4.0,8899,0
2018,0.0,7725,24325
2018,0.0,1087,23238
2018,0.0,3795,19443
2018,0.0,11971,7472
2018,0.0,4039,3433
2018,0.0,3433,0
2020,2.0,46969,8820
2020,2.0,8820,0
2022,3.0,161,28335
2022,3.0,1111,27224
2022,3.0,4297,22927
2022,3.0,6893,16034
2022,3.0,8076,7958
2022,3.0,7958,0
2024,0.0,250,34627
2024,0.0,6026,28601
2024,0.0,1006,27595
2024,0.0,6197,21398
2021,1.0,1140,108935
2021,1.0,8156,100779
2021,1.0,20581,80198
2021,1.0,500,79698
2021,1.0,2934,76764
2023,0.0,11040,63859
2023,0.0,9199,54660
2024,0.0,73484,0
2025,0.0,381,5112
2025,0.0,983,4129
2025,0.0,710,3419
2025,0.0,1079,2340
2025,0.0,1628,712
2025,0.0,712,0
2022,0.0,57662,37714
2020,4.0,162744,765175
2020,4.0,177603,587572
2020,4.0,587572,0
2022,1.0,33846,0
2023,0.0,19299,82142
2023,0.0,25081,57061
2023,0.0,57061,0
2021,3.0,5339,80984
2021,3.0,70075,10909
2024,1.0,35201,49923
2024,1.0,11140,38783
2024,1.0,4590,34193
2024,1.0,19262,14931
2024,1.0,388,14543
2024,1.0,1164,13379
2025,0.0,17983,126836
2025,0.0,33929,92907
2025,0.0,30202,62705
