policy_id,claim_id,exposure,claim_count,vehicle_age,region,channel,sum_insured,policy_year,predicted_frequency
617,49.0,0.9555099247091032,1,2,South,Bancassurance,849000,2020,1.1669376906556137
645,50.0,0.8761122518822724,1,3,West,Bancassurance,1007600,2021,1.1625454148043035
651,51.0,1.0,1,7,East,Agent,1881800,2023,1.160262022752052
660,52.0,0.8870636550308009,1,4,South,Broker,619800,2024,1.1616914166398236
671,53.0,0.8843258042436687,1,12,North,Broker,409800,2018,1.1692418165702485
683,54.0,0.969199178644764,1,15,West,Bancassurance,527800,2024,1.1757668945852193
691,55.0,0.8240930869267625,1,15,South,Bancassurance,568300,2022,1.1811205374024438
701,56.0,0.919917864476386,1,13,Central,Online,1840600,2023,1.1645732477644888
709,57.0,0.9582477754962354,1,11,East,Online,405200,2018,1.1658578412722171
725,58.0,0.9801505817932924,1,12,West,Agent,280700,2023,1.1625078208380866
728,59.0,0.9363449691991786,1,3,East,Agent,696700,2024,1.1570054542459145
740,60.0,1.0,1,1,West,Agent,1108300,2019,1.1502011525330682
746,61.0,0.8815879534565366,1,13,North,Direct,467300,2020,1.1714914026931058
760,62.0,1.0,1,12,Central,Bancassurance,935700,2024,1.1744011312419895
780,63.0,0.8323066392881588,1,5,North,Online,564600,2021,1.159133331858338
792,64.0,1.0,1,11,East,Agent,1332600,2024,1.1649671958606294
823,65.0,0.919917864476386,1,10,North,Agent,490600,2023,1.1643834156587303
824,66.0,1.0,1,6,Central,Bancassurance,320800,2023,1.1684912406147294
856,67.0,1.0,1,8,East,Agent,952900,2021,1.1620921442740708
858,68.0,1.0,1,3,South,Direct,609800,2018,1.161856932462416
860,69.0,0.9336071184120466,1,11,North,Broker,255400,2022,1.168302338609086
874,70.0,0.9062286105407256,1,6,North,Online,605400,2018,1.1601593877972904
886,71.0,0.9801505817932924,1,4,North,Direct,1417300,2018,1.1611088016521856
887,72.0,0.922655715263518,1,11,Central,Online,1050400,2018,1.1631016378815084
889,73.0,0.9582477754962354,1,1,North,Agent,577900,2024,1.1547737918638048
915,74.0,0.9856262833675564,1,5,East,Direct,3671600,2021,1.1605219183322835
926,75.0,0.974674880219028,1,1,South,Direct,593600,2020,1.159748654348897
930,76.0,0.9938398357289528,1,6,East,Broker,1017900,2018,1.1625621220135303
934,77.0,0.8980150581793293,1,3,East,Agent,261000,2019,1.1573648840230664
943,78.0,0.8898015058179329,1,5,Central,Direct,744000,2024,1.1607309727007409
944,79.0,0.8542094455852156,1,6,East,Online,521900,2020,1.1604461371493626
949,80.0,0.971937029431896,1,2,South,Agent,228000,2024,1.1572542168852793
955,81.0,1.0,1,12,West,Broker,261500,2020,1.1651755089702065
973,82.0,0.865160848733744,1,4,Central,Agent,633900,2023,1.1559088048379986
977,83.0,1.0,1,13,North,Broker,2221000,2021,1.1688007414382164
993,84.0,1.0,1,13,East,Broker,552600,2021,1.1704112833754339
994,85.0,1.0,1,6,East,Online,979900,2019,1.1600673081596202
1002,86.0,0.9527720739219712,1,7,South,Agent,377600,2018,1.1624303352675314
1023,87.0,0.8624229979466119,1,7,East,Agent,399500,2023,1.1614887423627762
1033,88.0,0.8678986995208761,1,10,South,Agent,1169000,2021,1.1649642591930285
1044,89.0,0.8733744010951403,1,10,Central,Agent,976100,2022,1.1619809307919398
1072,90.0,1.0,1,8,Central,Direct,586900,2021,1.1640480297738118
1076,91.0,0.999315537303217,1,11,East,Online,893800,2018,1.165451821610927
1095,92.0,1.0,1,1,North,Agent,631700,2021,1.154729503003529
1111,93.0,1.0,1,3,West,Bancassurance,782000,2022,1.162732400155787
1114,94.0,0.944558521560575,2,14,East,Broker,992000,2022,1.1711144928316886
1114,95.0,0.944558521560575,2,14,East,Broker,992000,2022,1.1711144928316886
1118,96.0,0.9828884325804244,1,3,West,Online,732600,2023,1.1527328855496255
1122,97.0,0.8459958932238193,1,15,South,Online,573400,2024,1.1709173904890893
1132,98.0,1.0,1,15,South,Online,1032500,2021,1.1705342252354523
1134,99.0,1.0,1,13,North,Bancassurance,767200,2020,1.1776391152741554
1163,100.0,0.9883641341546886,1,8,West,Broker,763900,2021,1.1605082122896204
1171,101.0,0.9034907597535934,1,10,South,Agent,878300,2019,1.165205708672454
1183,102.0,0.9911019849418208,1,2,East,Direct,540100,2023,1.1599310851387645
1189,103.0,0.8240930869267625,1,2,West,Agent,473800,2024,1.15177365042353
1223,104.0,0.9774127310061602,1,2,North,Broker,524600,2021,1.1585101324822829
1225,105.0,0.9883641341546886,1,6,North,Direct,357100,2024,1.1641124992991132
1235,106.0,0.9117043121149896,1,9,East,Online,420100,2018,1.1637165022341416
1272,107.0,0.8733744010951403,1,7,North,Direct,1028900,2018,1.1646189588373121
1287,108.0,0.8596851471594799,1,8,West,Agent,127800,2020,1.158392235846155
1301,109.0,0.9418206707734428,1,9,South,Agent,2067500,2021,1.1631548220344852
1319,110.0,0.9336071184120466,1,10,Central,Agent,669200,2018,1.1622351843489014
1326,111.0,0.947296372347707,2,4,West,Agent,927200,2023,1.1535078538738939
1326,112.0,0.947296372347707,2,4,West,Agent,927200,2023,1.1535078538738939
1330,113.0,0.9390828199863108,1,3,Central,Broker,310700,2021,1.1577539197397335
1334,114.0,1.0,1,4,East,Agent,1539600,2018,1.1573676423432708
1357,115.0,1.0,1,13,West,Direct,1619100,2024,1.1663357747675132
1358,116.0,0.9390828199863108,1,12,East,Agent,527200,2019,1.1667020155499
1363,117.0,1.0,1,3,West,Agent,271900,2021,1.1529926638339365
1367,118.0,1.0,1,6,East,Broker,354000,2020,1.1631124799748045
1370,119.0,0.9308692676249144,1,8,North,Agent,646900,2023,1.1621276329624184
1371,120.0,1.0,1,7,West,Direct,1178800,2019,1.1603220357699207
1377,121.0,1.0,1,3,Central,Bancassurance,532300,2023,1.1651163366016732
1382,122.0,0.9034907597535934,1,8,West,Agent,697000,2019,1.157922281081543
1385,123.0,0.8843258042436687,1,7,South,Agent,865600,2018,1.1620260063028327
1389,124.0,0.8761122518822724,1,8,Central,Direct,981600,2019,1.1637205378717392
1390,125.0,0.9828884325804244,2,11,South,Direct,396100,2023,1.1705608210278369
1390,126.0,0.9828884325804244,2,11,South,Direct,396100,2023,1.1705608210278369
1403,127.0,1.0,1,8,North,Agent,437600,2022,1.1623010449416438
1448,128.0,0.919917864476386,1,13,East,Online,611500,2022,1.1678189507145877
1472,129.0,1.0,1,2,West,Agent,392900,2023,1.151840078522219
1479,130.0,1.0,1,3,South,Direct,816800,2022,1.1616854915009596
1498,131.0,0.8733744010951403,1,1,West,Agent,1816400,2019,1.149620679003573
1501,132.0,0.8678986995208761,1,15,North,Agent,1238900,2020,1.1690923363660874
1506,133.0,0.9582477754962354,1,8,South,Bancassurance,567900,2018,1.1735891158296872
1515,134.0,0.922655715263518,1,14,West,Bancassurance,582500,2021,1.1746470611511608
1538,135.0,0.9828884325804244,1,13,South,Agent,148100,2021,1.1690130657861246
1539,136.0,1.0,1,5,East,Direct,482700,2021,1.1631631812200252
1545,137.0,0.9609856262833676,1,14,East,Online,1080000,2020,1.1684963617525934
1548,138.0,0.8898015058179329,1,2,West,Agent,1707000,2019,1.150761527165977
1556,139.0,1.0,1,2,South,Direct,1052200,2021,1.1604295739421466
1563,140.0,1.0,1,10,North,Online,786200,2018,1.164258094247857
1609,141.0,0.8898015058179329,1,7,East,Agent,655600,2019,1.161276706863513
1611,142.0,0.8898015058179329,1,4,North,Agent,666400,2019,1.1578710798806355
1619,143.0,0.8898015058179329,1,15,South,Online,271100,2020,1.1711697588105905
1621,144.0,1.0,2,2,West,Agent,1124900,2024,1.1512391627617116
1621,145.0,1.0,2,2,West,Agent,1124900,2024,1.1512391627617116
1622,146.0,1.0,1,7,West,Direct,882900,2023,1.1605668253629497
1623,147.0,1.0,1,3,North,Agent,632600,2019,1.1568412748095878
1672,148.0,0.974674880219028,1,14,West,Agent,1241800,2019,1.163836876771183
1676,149.0,1.0,1,0,North,Direct,1032200,2024,1.157189707347557
1738,150.0,0.919917864476386,1,11,East,Direct,1388800,2020,1.1688034621734416
1740,151.0,0.8432580424366872,1,7,South,Agent,611500,2020,1.1622365215163555
1770,152.0,0.9117043121149896,1,6,East,Online,1148300,2018,1.1599280492966078
1771,153.0,0.9089664613278576,1,7,West,Agent,888200,2021,1.15670687904237
1790,154.0,0.8980150581793293,1,14,North,Broker,823000,2018,1.1710358808627108
1815,155.0,0.9828884325804244,1,6,West,Agent,593900,2019,1.1558927483780213
1820,156.0,0.9774127310061602,1,10,Central,Direct,587000,2020,1.1661775084082757
1830,157.0,0.9281314168377824,1,14,West,Agent,1060900,2018,1.1639869773348301
1834,158.0,0.8733744010951403,1,10,West,Broker,561700,2018,1.1627988997358711
1862,159.0,1.0,1,8,East,Bancassurance,487000,2020,1.1727244243680504
1911,160.0,0.8240930869267625,1,12,North,Online,715700,2018,1.1664466631423598
1913,162.0,1.0,2,9,North,Broker,494100,2024,1.1659704699233642
1913,161.0,1.0,2,9,North,Broker,494100,2024,1.1659704699233642
1925,163.0,0.9500342231348392,1,3,West,Agent,504700,2018,1.1528013276444167
1931,164.0,0.9308692676249144,1,2,North,Broker,1186400,2023,1.1579636858002345
1934,165.0,0.9418206707734428,2,15,East,Bancassurance,401100,2022,1.1803229111064573
1934,166.0,0.9418206707734428,2,15,East,Bancassurance,401100,2022,1.1803229111064573
1942,167.0,1.0,1,2,Central,Bancassurance,2447200,2022,1.1624640560099284
1956,168.0,0.9555099247091032,1,3,North,Broker,849700,2023,1.159300651527262
1983,169.0,0.9500342231348392,1,15,Central,Broker,1362200,2022,1.169643366619173
1994,170.0,0.9883641341546886,1,5,West,Agent,397600,2024,1.1549984957871935
2019,172.0,1.0,1,8,South,Agent,674400,2020,1.1632469973795017
2033,173.0,1.0,1,3,North,Agent,766800,2020,1.1567306050019424
2046,175.0,1.0,2,0,East,Agent,1117900,2023,1.153491271904039
2046,174.0,1.0,2,0,East,Agent,1117900,2023,1.153491271904039
2053,176.0,0.9527720739219712,1,5,North,Broker,1325800,2019,1.161027399592769
2071,177.0,0.8788501026694046,1,6,East,Broker,580600,2022,1.162924604460862
2074,178.0,1.0,1,9,West,Agent,692300,2019,1.1589848579010447
2092,179.0,0.9500342231348392,1,14,South,Agent,373700,2021,1.169893732416786
2121,180.0,0.8898015058179329,1,1,East,Broker,440000,2024,1.1577388570690943
2131,181.0,0.8350444900752909,1,3,Central,Agent,465400,2019,1.154991649520009
2137,182.0,1.0,1,7,Central,Online,300500,2022,1.159477315023763
2142,183.0,0.8815879534565366,1,14,North,Direct,322500,2020,1.172683548591714
2149,184.0,0.917180013689254,1,9,West,Bancassurance,1604700,2020,1.1684400599612423
2159,185.0,1.0,1,10,South,Online,503600,2020,1.16563716704388
2160,186.0,1.0,1,11,South,Direct,367800,2021,1.1705844371419545
2231,187.0,0.892539356605065,1,10,South,Broker,417600,2020,1.1682472261468884
2233,188.0,0.974674880219028,1,10,Central,Broker,1144000,2018,1.1644920771195353
2244,189.0,1.0,1,11,East,Online,771900,2024,1.165553105539762
2270,191.0,1.0,1,15,East,Online,814700,2019,1.1697859441554979
2286,192.0,1.0,1,0,North,Online,1968900,2024,1.1526942753656655
2287,193.0,0.9390828199863108,1,2,South,Online,370400,2019,1.1572560456333205
2319,194.0,1.0,1,8,North,Online,387500,2018,1.1624623973841708
2357,195.0,0.8323066392881588,1,0,North,Agent,866700,2023,1.1534814346028384
2362,196.0,0.8898015058179329,1,8,South,Broker,626300,2021,1.165940402877697
2375,197.0,1.0,1,7,West,Broker,490100,2023,1.1596744581802623
2386,198.0,0.9418206707734428,1,9,North,Agent,817600,2021,1.163048630736613
2404,199.0,0.9418206707734428,1,4,West,Broker,1218900,2021,1.15589866960783
2410,200.0,1.0,1,15,Central,Online,159000,2018,1.168103252273501
2431,201.0,1.0,1,1,West,Agent,1208300,2022,1.1501191585551707
2434,202.0,1.0,1,1,East,Online,764400,2020,1.1549559700254874
2441,203.0,1.0,1,8,Central,Online,496600,2020,1.1603752007654056
2443,204.0,0.9527720739219712,1,3,North,Broker,984100,2024,1.1591895811667263
2459,205.0,0.8295687885010267,1,15,East,Direct,413100,2020,1.1739001412698549
2467,206.0,0.8843258042436687,1,0,South,Online,883400,2022,1.1547204014556853
2473,207.0,1.0,1,11,North,Online,650500,2019,1.1654353187366637
2475,208.0,1.0,1,6,West,Agent,424000,2018,1.1560327589589106
2477,209.0,0.9281314168377824,1,10,East,Agent,457000,2021,1.1646297785732267
2478,210.0,0.9637234770704995,1,10,South,Agent,568700,2024,1.1654629111345884
2481,211.0,0.892539356605065,1,5,West,Online,646700,2024,1.1549124685676109
2486,212.0,0.8268309377138946,1,12,West,Agent,3203800,2024,1.16008784644857
2488,213.0,0.8432580424366872,1,12,South,Agent,974300,2021,1.1672575012985553
2493,214.0,1.0,2,6,South,Agent,371500,2020,1.1613735412260544
2493,215.0,1.0,2,6,South,Agent,371500,2020,1.1613735412260544
2499,216.0,0.8843258042436687,1,5,South,Agent,683300,2018,1.160054776892187
2504,217.0,0.974674880219028,1,1,South,Agent,1120400,2024,1.1554617797381308
2509,218.0,1.0,1,1,East,Direct,722200,2022,1.158721091542744
2517,219.0,0.8350444900752909,1,6,West,Agent,1373300,2020,1.155250680517464
2519,220.0,1.0,1,10,South,Agent,181000,2023,1.1657850758067367
2526,221.0,0.9281314168377824,1,14,South,Direct,1180800,2021,1.1731180714325935
2540,222.0,0.9117043121149896,1,11,West,Broker,766400,2021,1.1636922232067497
2568,223.0,0.971937029431896,1,12,East,Agent,1051500,2023,1.1662660197720047
2614,224.0,1.0,1,13,East,Agent,860800,2024,1.1674910498670599
2630,225.0,0.9363449691991786,1,11,West,Agent,527800,2021,1.1612413284832723
2636,226.0,0.8268309377138946,1,0,South,Agent,1012300,2023,1.154495267014953
2639,227.0,0.8624229979466119,2,4,East,Broker,671200,2020,1.160726011591236
2639,228.0,0.8624229979466119,2,4,East,Broker,671200,2020,1.160726011591236
2640,229.0,0.892539356605065,1,4,West,Online,761700,2024,1.1537628991677469
2660,230.0,1.0,1,10,South,Broker,464200,2021,1.1682084167315951
2676,231.0,0.892539356605065,1,3,Central,Bancassurance,487300,2021,1.1651537142875488
2705,232.0,0.9062286105407256,1,9,South,Agent,1123100,2018,1.1639381855589856
2708,233.0,1.0,1,2,North,Bancassurance,1126200,2018,1.165561566157465
2736,234.0,0.8870636550308009,1,8,West,Agent,694200,2021,1.1579245924091883
2743,235.0,0.8295687885010267,1,6,East,Bancassurance,246000,2023,1.1707840389335222
2747,236.0,1.0,1,11,East,Agent,790600,2019,1.1654174114476308
2765,237.0,0.8678986995208761,1,15,South,Online,706600,2018,1.1708062087405784
2778,238.0,0.9637234770704995,1,8,East,Agent,836700,2021,1.1621884136862068
2785,239.0,1.0,1,4,West,Online,1515700,2023,1.153142894673271
2822,241.0,0.9007529089664612,2,15,East,Broker,1277900,2024,1.1719463625721438
2822,240.0,0.9007529089664612,2,15,East,Broker,1277900,2024,1.1719463625721438
2823,242.0,0.9336071184120466,1,12,West,Broker,1894900,2018,1.1638195245265994
2845,244.0,0.8569472963723477,2,15,South,Agent,473900,2022,1.170879730520667
2845,243.0,0.8569472963723477,2,15,South,Agent,473900,2022,1.170879730520667
2882,245.0,0.892539356605065,1,14,West,Agent,785200,2023,1.1642157747983723
2883,246.0,0.9856262833675564,1,3,South,Agent,703200,2019,1.1579199690161939
2890,247.0,1.0,1,11,South,Broker,524600,2018,1.169226168528995
2902,248.0,0.9062286105407256,1,10,West,Agent,634900,2024,1.160091992943662
2913,249.0,1.0,1,15,West,Online,588000,2024,1.1655642106261621
2920,250.0,0.9363449691991786,1,1,West,Agent,607900,2023,1.1506115382178512
2934,251.0,1.0,1,7,North,Agent,1190200,2023,1.160616454826393
2963,252.0,0.9883641341546886,1,13,North,Agent,366500,2022,1.1676834398532143
2965,253.0,0.8350444900752909,1,0,West,Agent,502400,2023,1.1496469516971763
2975,254.0,1.0,1,10,Central,Agent,728700,2019,1.162185886790299
2978,255.0,1.0,1,10,South,Direct,659100,2020,1.169272301590968
2998,256.0,1.0,1,9,South,Online,876500,2020,1.1642628475666055
3008,257.0,0.8678986995208761,1,5,West,Direct,501500,2019,1.1587625305989355
3017,258.0,0.922655715263518,1,7,West,Broker,652600,2023,1.1595401235636125
3027,259.0,0.9089664613278576,1,7,North,Agent,772200,2020,1.1609623570490044
3035,260.0,1.0,1,1,North,Agent,1157200,2019,1.1542969938786192
3037,261.0,0.9390828199863108,1,6,West,Agent,481200,2018,1.155985619895071
3043,262.0,1.0,1,14,West,Direct,660900,2020,1.1681998774187474
3053,263.0,0.8761122518822724,1,15,East,Broker,350900,2024,1.172721100143085
3061,264.0,0.8487337440109514,1,13,West,Agent,1487500,2024,1.1625700967792658
3066,265.0,0.9007529089664612,1,13,West,Broker,1808900,2023,1.1649550296299678
3067,266.0,0.8240930869267625,1,8,West,Bancassurance,252400,2018,1.1684986667091588
3096,267.0,0.9774127310061602,1,7,South,Agent,584400,2018,1.1622589754090378
3097,268.0,1.0,1,14,South,Bancassurance,422800,2020,1.180164027114253
3138,269.0,0.971937029431896,1,7,Central,Bancassurance,893400,2023,1.1690822784248984
3144,270.0,0.974674880219028,1,3,North,Broker,997300,2024,1.1591786730445133
3145,271.0,1.0,1,8,South,Agent,874900,2021,1.1630807407706802
3165,272.0,0.8268309377138946,1,15,North,Direct,491200,2022,1.173614585353947
3174,273.0,0.8624229979466119,1,1,Central,Direct,594200,2021,1.1566191221306927
3176,274.0,0.9774127310061602,1,15,East,Broker,1421700,2023,1.1718262280018537
3184,275.0,1.0,1,5,West,Broker,1283500,2020,1.156902233123633
3192,276.0,1.0,1,1,South,Broker,467400,2021,1.1586366883665797
3223,277.0,0.840520191649555,1,1,East,Agent,1148700,2020,1.154520563988226
3233,278.0,0.9390828199863108,1,15,North,Online,377100,2018,1.1699314216006453
3237,279.0,0.9253935660506504,1,5,East,Agent,1383900,2018,1.158554418002752
3264,280.0,0.971937029431896,1,15,South,Online,1190800,2021,1.1704021369920639
3271,281.0,0.9965776865160848,1,3,Central,Agent,864800,2022,1.1546628367192036
3285,282.0,1.0,1,11,West,Broker,727900,2024,1.1637241627322321
3290,283.0,0.8952772073921971,1,14,North,Bancassurance,655800,2023,1.1788094487960177
3293,284.0,1.0,1,7,North,Agent,695200,2020,1.1610260871228464
3322,285.0,0.947296372347707,1,13,North,Agent,553000,2024,1.1675282016079345
3331,286.0,0.8980150581793293,1,13,North,Agent,436000,2022,1.1676255872634116
3351,287.0,0.9582477754962354,1,7,East,Agent,1134800,2024,1.1608800618641875
3362,288.0,0.944558521560575,1,12,East,Agent,664400,2024,1.1665879074538512
3368,289.0,0.922655715263518,1,11,West,Agent,861900,2024,1.1609647802557355
3376,290.0,1.0,1,14,West,Bancassurance,948900,2021,1.1743402792169422
3379,291.0,1.0,1,15,East,Direct,1262900,2023,1.1731891897690414
3385,292.0,0.8843258042436687,2,0,South,Direct,302100,2024,1.158930069437655
3385,293.0,0.8843258042436687,2,0,South,Direct,302100,2024,1.158930069437655
3400,294.0,0.8788501026694046,1,12,North,Online,750800,2021,1.1664174760920838
3411,295.0,1.0,1,6,North,Broker,374200,2021,1.1628775466519645
3412,296.0,1.0,1,0,North,Online,1441900,2022,1.1531274170422363
3415,297.0,0.922655715263518,1,10,North,Broker,446600,2020,1.167076041241883
3417,298.0,0.840520191649555,1,15,North,Broker,694100,2024,1.1722142761073964
3419,299.0,1.0,1,2,South,Agent,952200,2018,1.1566569082030231
3421,300.0,1.0,1,2,Central,Broker,1386700,2018,1.1558094183585246
3427,301.0,1.0,1,3,West,Agent,210300,2018,1.1530432976232607
3435,302.0,1.0,1,4,North,Agent,1101700,2018,1.1575118229721792
3446,303.0,1.0,1,9,West,Broker,1136400,2019,1.1612608538279736
3447,304.0,1.0,1,14,West,Direct,2196200,2020,1.1669219788083336
3449,305.0,0.9390828199863108,1,4,Central,Agent,951700,2018,1.1556469552423072
3456,306.0,1.0,1,4,East,Direct,674100,2018,1.161942112452366
3469,307.0,0.9007529089664612,1,12,Central,Agent,657000,2020,1.16437155644014
3470,308.0,1.0,1,13,South,Bancassurance,245100,2022,1.1792353606145152
3498,309.0,0.971937029431896,1,9,North,Broker,401300,2024,1.1660476088393523
3518,310.0,0.947296372347707,1,10,North,Broker,560200,2021,1.1669815299852293
3543,311.0,0.8240930869267625,1,2,East,Direct,2191000,2023,1.158566750031237
3547,313.0,0.8240930869267625,1,12,East,Broker,321500,2023,1.1695348127713925
3559,314.0,1.0,1,12,West,Bancassurance,222500,2024,1.1728029840272565
3577,315.0,1.0,1,8,South,Broker,807100,2021,1.1657901335205931
3618,316.0,0.892539356605065,1,11,East,Agent,1548900,2019,1.164787573512015
3625,317.0,0.8432580424366872,1,3,West,Agent,374600,2021,1.1529082517294749
3639,318.0,1.0,1,3,East,Direct,493100,2023,1.1610305160777148
3651,319.0,0.9527720739219712,1,14,West,Broker,610200,2020,1.1670169939762407
3656,320.0,0.865160848733744,1,4,North,Agent,761300,2023,1.157792748574782
3662,321.0,1.0,1,11,East,Agent,1244100,2024,1.1650406970396041
3672,322.0,0.9801505817932924,1,9,West,Online,443600,2020,1.1593098738268857
3673,323.0,1.0,1,4,East,Agent,3252600,2022,1.1559551464698576
3679,324.0,0.947296372347707,1,12,North,Broker,395800,2022,1.169253486229637
3681,325.0,0.865160848733744,1,10,East,Bancassurance,961600,2020,1.1744724226998982
3698,327.0,1.0,1,12,West,Online,1365700,2019,1.1617287465389232
3705,328.0,1.0,1,14,South,Agent,1006700,2018,1.169365924650498
3716,329.0,1.0,1,15,North,Direct,309500,2022,1.1737666163677678
3750,330.0,0.9089664613278576,1,14,South,Agent,1455400,2023,1.168991934052714
3754,331.0,0.9609856262833676,1,1,North,Agent,218300,2024,1.1550698628895073
3771,332.0,0.865160848733744,1,6,East,Bancassurance,470700,2020,1.170596509811585
3774,334.0,0.9801505817932924,2,2,South,Online,274800,2021,1.1573349181662305
3774,333.0,0.9801505817932924,2,2,South,Online,274800,2021,1.1573349181662305
3784,335.0,0.9828884325804244,1,8,Central,Broker,846300,2022,1.1626123058595763
3794,336.0,0.922655715263518,1,15,North,Broker,801400,2018,1.1721246130061154
3795,337.0,0.9965776865160848,1,12,North,Agent,999800,2024,1.1660902181402022
3798,338.0,1.0,1,12,East,Agent,371200,2021,1.1668317730094486
3812,339.0,0.9883641341546886,1,6,South,Agent,1179800,2018,1.1607045151830664
3843,340.0,1.0,1,8,East,Agent,434600,2022,1.162521607170748
3862,341.0,0.8542094455852156,1,5,Central,Agent,725800,2019,1.1568898616050605
3902,342.0,0.947296372347707,1,13,West,Online,271300,2021,1.1636984708087577
3933,343.0,0.9664613278576316,1,8,West,Direct,1154300,2018,1.1614032081343955
3950,344.0,0.9253935660506504,1,10,East,Online,510700,2020,1.1647052650446927
3967,345.0,0.9117043121149896,1,13,South,Broker,1273300,2023,1.170740163299113
3972,346.0,1.0,2,11,West,Agent,931000,2018,1.1609075915808438
3972,347.0,1.0,2,11,West,Agent,931000,2018,1.1609075915808438
3976,348.0,1.0,1,8,North,Online,1847100,2020,1.1612534414362077
3983,349.0,0.8295687885010267,1,5,West,Broker,1110400,2023,1.1570450054914183
3990,350.0,1.0,1,14,South,Agent,584200,2023,1.16971818697091
3999,351.0,1.0,1,15,Central,Agent,1540400,2024,1.1668331814496546
4031,352.0,0.8898015058179329,1,7,Central,Online,968100,2024,1.1589256202367033
4040,353.0,1.0,1,1,East,Agent,295200,2018,1.1552232494481733
4050,354.0,0.8980150581793293,1,10,East,Bancassurance,624700,2023,1.1747545334443334
4060,355.0,0.9856262833675564,1,10,South,Direct,796300,2020,1.1691579421107248
4085,356.0,0.9856262833675564,1,14,East,Bancassurance,1131000,2020,1.1786312740751022
4095,357.0,1.0,1,3,West,Direct,935800,2022,1.1562884568541765
4096,358.0,0.999315537303217,1,13,South,Agent,801300,2019,1.1684688287830827
4099,359.0,0.8706365503080082,1,4,South,Bancassurance,548700,2024,1.1693228423986455
4134,360.0,0.9664613278576316,1,5,Central,Agent,731300,2019,1.1568853255586284
4168,361.0,1.0,1,5,West,Direct,403600,2019,1.1588434059034356
