policy_id,claim_id,accident_date,claim_amount,vehicle_age,region,channel,sum_insured
930,76.0,2018-11-07,278264.0,6,East,Broker,1017900
934,77.0,2020-08-09,30640.0,3,East,Agent,261000
943,78.0,2025-07-29,120422.0,5,Central,Direct,744000
944,79.0,2021-04-17,73797.0,6,East,Online,521900
949,80.0,2025-01-01,27135.0,2,South,Agent,228000
955,81.0,2020-04-11,23015.0,12,West,Broker,261500
973,82.0,2023-12-15,61390.0,4,Central,Agent,633900
977,83.0,2021-02-11,529861.0,13,North,Broker,2221000
993,84.0,2021-08-25,75979.0,13,East,Broker,552600
994,85.0,2020-05-06,50337.0,6,East,Online,979900
1002,86.0,2018-07-08,31367.0,7,South,Agent,377600
1023,87.0,2024-05-23,20593.0,7,East,Agent,399500
1033,88.0,2021-07-30,201354.0,10,South,Agent,1169000
1044,89.0,2023-08-23,80326.0,10,Central,Agent,976100
1072,90.0,2021-07-15,13956.0,8,Central,Direct,586900
1076,91.0,2019-07-08,312451.0,11,East,Online,893800
1095,92.0,2021-11-25,19331.0,1,North,Agent,631700
1111,93.0,2023-01-18,95932.0,3,West,Bancassurance,782000
1114,94.0,2023-01-31,154392.0,14,East,Broker,992000
1114,95.0,2023-03-03,56775.0,14,East,Broker,992000
1118,96.0,2023-08-01,46618.0,3,West,Online,732600
1122,97.0,2024-08-26,33959.0,15,South,Online,573400
1132,98.0,2021-02-05,68166.0,15,South,Online,1032500
1134,99.0,2021-01-28,70521.0,13,North,Bancassurance,767200
1163,100.0,2021-10-04,43777.0,8,West,Broker,763900
1171,101.0,2020-06-22,65577.0,10,South,Agent,878300
1183,102.0,2024-03-15,120560.0,2,East,Direct,540100
1189,103.0,2025-02-10,20219.0,2,West,Agent,473800
1223,104.0,2022-04-24,24685.0,2,North,Broker,524600
1225,105.0,2024-11-30,145747.0,6,North,Direct,357100
1235,106.0,2018-12-10,11189.0,9,East,Online,420100
1272,107.0,2018-04-06,94493.0,7,North,Direct,1028900
1287,108.0,2021-01-04,29498.0,8,West,Agent,127800
1301,109.0,2022-01-29,131567.0,9,South,Agent,2067500
1319,110.0,2019-05-09,36032.0,10,Central,Agent,669200
1326,111.0,2023-04-25,80770.0,4,West,Agent,927200
1326,112.0,2023-11-11,30369.0,4,West,Agent,927200
1330,113.0,2022-04-30,74498.0,3,Central,Broker,310700
1334,114.0,2019-11-09,105534.0,4,East,Agent,1539600
1357,115.0,2025-08-27,255031.0,13,West,Direct,1619100
1358,116.0,2020-05-28,34735.0,12,East,Agent,527200
1363,117.0,2021-12-07,49067.0,3,West,Agent,271900
1367,118.0,2020-07-29,15737.0,6,East,Broker,354000
1370,119.0,2023-09-16,113664.0,8,North,Agent,646900
1371,120.0,2019-10-27,204365.0,7,West,Direct,1178800
1377,121.0,2024-07-27,58347.0,3,Central,Bancassurance,532300
1382,122.0,2019-03-25,12743.0,8,West,Agent,697000
1385,123.0,2018-04-16,113414.0,7,South,Agent,865600
1389,124.0,2020-02-15,278932.0,8,Central,Direct,981600
1390,125.0,2023-08-23,94801.0,11,South,Direct,396100
1390,126.0,2023-09-07,108029.0,11,South,Direct,396100
1403,127.0,2023-08-28,25205.0,8,North,Agent,437600
1448,128.0,2023-08-02,147693.0,13,East,Online,611500
1472,129.0,2024-01-01,136067.0,2,West,Agent,392900
1479,130.0,2022-04-25,192048.0,3,South,Direct,816800
1498,131.0,2019-05-28,287097.0,1,West,Agent,1816400
1501,132.0,2020-08-07,68903.0,15,North,Agent,1238900
1506,133.0,2018-05-15,9657.0,8,South,Bancassurance,567900
1515,134.0,2021-12-11,14361.0,14,West,Bancassurance,582500
1538,135.0,2022-10-01,8332.0,13,South,Agent,148100
1539,136.0,2021-09-22,45603.0,5,East,Direct,482700
1545,137.0,2021-02-04,97920.0,14,East,Online,1080000
1548,138.0,2019-03-13,129796.0,2,West,Agent,1707000
1556,139.0,2022-04-26,44664.0,2,South,Direct,1052200
1563,140.0,2018-03-28,347116.0,10,North,Online,786200
1609,141.0,2019-09-25,153267.0,7,East,Agent,655600
1611,142.0,2019-12-01,57238.0,4,North,Agent,666400
1619,143.0,2020-09-28,21228.0,15,South,Online,271100
1621,144.0,2025-02-16,426442.0,2,West,Agent,1124900
1621,145.0,2025-01-05,225529.0,2,West,Agent,1124900
1622,146.0,2024-06-18,40330.0,7,West,Direct,882900
1623,147.0,2020-02-10,410632.0,3,North,Agent,632600
1672,148.0,2019-09-07,135224.0,14,West,Agent,1241800
1676,149.0,2024-02-15,171324.0,0,North,Direct,1032200
1738,150.0,2020-11-28,218497.0,11,East,Direct,1388800
1740,151.0,2021-06-28,68529.0,7,South,Agent,611500
1770,152.0,2018-10-06,58424.0,6,East,Online,1148300
1771,153.0,2021-06-09,799380.0,7,West,Agent,888200
1790,154.0,2019-05-14,203497.0,14,North,Broker,823000
1815,155.0,2020-01-29,77358.0,6,West,Agent,593900
1820,156.0,2020-12-06,72750.0,10,Central,Direct,587000
1830,157.0,2019-07-17,133437.0,14,West,Agent,1060900
1834,158.0,2018-05-26,25518.0,10,West,Broker,561700
1862,159.0,2020-12-05,48275.0,8,East,Bancassurance,487000
1911,160.0,2018-10-02,67880.0,12,North,Online,715700
1913,162.0,2025-01-31,183451.0,9,North,Broker,494100
1913,161.0,2024-05-31,61390.0,9,North,Broker,494100
1925,163.0,2019-03-30,51137.0,3,West,Agent,504700
1931,164.0,2024-03-13,163809.0,2,North,Broker,1186400
1934,165.0,2022-11-10,12344.0,15,East,Bancassurance,401100
1934,166.0,2022-10-17,65307.0,15,East,Bancassurance,401100
1942,167.0,2023-03-19,729211.0,2,Central,Bancassurance,2447200
1956,168.0,2023-06-05,40806.0,3,North,Broker,849700
1983,169.0,2022-12-08,294335.0,15,Central,Broker,1362200
1994,170.0,2025-05-25,67432.0,5,West,Agent,397600
2019,172.0,2021-01-14,24550.0,8,South,Agent,674400
2033,173.0,2021-03-03,102904.0,3,North,Agent,766800
2046,175.0,2024-01-01,85182.0,0,East,Agent,1117900
2046,174.0,2023-12-26,255141.0,0,East,Agent,1117900
2053,176.0,2019-09-12,63339.0,5,North,Broker,1325800
2071,177.0,2023-05-28,20094.0,6,East,Broker,580600
2074,178.0,2020-03-22,104595.0,9,West,Agent,692300
2092,179.0,2021-04-29,92943.0,14,South,Agent,373700
2121,180.0,2024-12-15,88986.0,1,East,Broker,440000
2131,181.0,2019-11-15,2795.0,3,Central,Agent,465400
2137,182.0,2022-12-15,3906.0,7,Central,Online,300500
2142,183.0,2020-05-25,5182.0,14,North,Direct,322500
2149,184.0,2020-10-05,80868.0,9,West,Bancassurance,1604700
2159,185.0,2021-06-02,90025.0,10,South,Online,503600
2160,186.0,2022-02-22,13222.0,11,South,Direct,367800
2231,187.0,2021-06-09,17701.0,10,South,Broker,417600
2233,188.0,2019-02-21,129368.0,10,Central,Broker,1144000
2244,189.0,2025-05-31,49638.0,11,East,Online,771900
2270,191.0,2019-08-25,55384.0,15,East,Online,814700
2286,192.0,2024-11-02,424265.0,0,North,Online,1968900
2287,193.0,2019-12-31,15603.0,2,South,Online,370400
2319,194.0,2019-02-12,13896.0,8,North,Online,387500
2357,195.0,2023-12-22,780030.0,0,North,Agent,866700
2362,196.0,2022-05-19,93495.0,8,South,Broker,626300
2375,197.0,2024-04-05,67659.0,7,West,Broker,490100
2386,198.0,2022-08-13,109198.0,9,North,Agent,817600
2404,199.0,2021-07-10,76503.0,4,West,Broker,1218900
2410,200.0,2018-09-20,11310.0,15,Central,Online,159000
2431,201.0,2023-06-10,93958.0,1,West,Agent,1208300
2434,202.0,2021-03-09,59311.0,1,East,Online,764400
2441,203.0,2021-05-25,75891.0,8,Central,Online,496600
2443,204.0,2024-08-01,389375.0,3,North,Broker,984100
2459,205.0,2021-08-28,31679.0,15,East,Direct,413100
2467,206.0,2023-05-10,60572.0,0,South,Online,883400
2473,207.0,2020-05-10,14695.0,11,North,Online,650500
2475,208.0,2018-11-28,23909.0,6,West,Agent,424000
2477,209.0,2021-06-21,107906.0,10,East,Agent,457000
2478,210.0,2024-11-20,32087.0,10,South,Agent,568700
2481,211.0,2024-06-26,58128.0,5,West,Online,646700
2486,212.0,2024-12-29,446956.0,12,West,Agent,3203800
2488,213.0,2021-07-12,198798.0,12,South,Agent,974300
2493,214.0,2021-08-15,73065.0,6,South,Agent,371500
2493,215.0,2021-04-25,80432.0,6,South,Agent,371500
2499,216.0,2019-05-05,93382.0,5,South,Agent,683300
2504,217.0,2025-10-06,150830.0,1,South,Agent,1120400
2509,218.0,2022-08-23,124447.0,1,East,Direct,722200
2517,219.0,2021-06-05,253902.0,6,West,Agent,1373300
2519,220.0,2023-11-14,22379.0,10,South,Agent,181000
2526,221.0,2021-06-02,447787.0,14,South,Direct,1180800
2540,222.0,2021-10-18,173775.0,11,West,Broker,766400
2568,223.0,2024-08-17,72941.0,12,East,Agent,1051500
2614,224.0,2025-08-31,204322.0,13,East,Agent,860800
2630,225.0,2021-10-21,282328.0,11,West,Agent,527800
2636,226.0,2023-12-03,84274.0,0,South,Agent,1012300
2639,227.0,2021-10-19,604080.0,4,East,Broker,671200
2639,228.0,2021-09-08,63418.0,4,East,Broker,671200
2640,229.0,2024-07-30,75037.0,4,West,Online,761700
2660,230.0,2021-08-21,379192.0,10,South,Broker,464200
2676,231.0,2021-12-14,51172.0,3,Central,Bancassurance,487300
2705,232.0,2019-03-05,225625.0,9,South,Agent,1123100
2708,233.0,2018-09-06,42161.0,2,North,Bancassurance,1126200
2736,234.0,2022-07-20,40806.0,8,West,Agent,694200
2743,235.0,2023-08-31,16222.0,6,East,Bancassurance,246000
2747,236.0,2019-10-06,86762.0,11,East,Agent,790600
2765,237.0,2019-06-08,98490.0,15,South,Online,706600
2778,238.0,2022-08-21,55255.0,8,East,Agent,836700
2785,239.0,2023-11-04,274966.0,4,West,Online,1515700
2822,241.0,2025-08-18,216791.0,15,East,Broker,1277900
2822,240.0,2024-11-27,68574.0,15,East,Broker,1277900
2823,242.0,2018-05-18,485663.0,12,West,Broker,1894900
2845,244.0,2023-01-09,166239.0,15,South,Agent,473900
2845,243.0,2022-11-12,9427.0,15,South,Agent,473900
2882,245.0,2023-11-24,264817.0,14,West,Agent,785200
2883,246.0,2019-12-02,22978.0,3,South,Agent,703200
2890,247.0,2019-04-01,4171.0,11,South,Broker,524600
2902,248.0,2025-05-05,56188.0,10,West,Agent,634900
2913,249.0,2025-07-01,92291.0,15,West,Online,588000
2920,250.0,2023-06-29,69139.0,1,West,Agent,607900
2934,251.0,2024-04-16,78951.0,7,North,Agent,1190200
2963,252.0,2022-12-02,28058.0,13,North,Agent,366500
2965,253.0,2023-09-25,10455.0,0,West,Agent,502400
2975,254.0,2020-02-03,104927.0,10,Central,Agent,728700
2978,255.0,2020-11-29,93158.0,10,South,Direct,659100
2998,256.0,2020-04-28,20564.0,9,South,Online,876500
3008,257.0,2019-09-17,70528.0,5,West,Direct,501500
3017,258.0,2024-05-24,94843.0,7,West,Broker,652600
3027,259.0,2021-08-03,22344.0,7,North,Agent,772200
3035,260.0,2020-07-19,154288.0,1,North,Agent,1157200
3037,261.0,2019-08-07,51961.0,6,West,Agent,481200
3043,262.0,2020-10-21,53804.0,14,West,Direct,660900
3053,263.0,2024-05-01,56531.0,15,East,Broker,350900
3061,264.0,2024-06-18,71920.0,13,West,Agent,1487500
3066,265.0,2023-04-29,298270.0,13,West,Broker,1808900
3067,266.0,2019-04-09,28638.0,8,West,Bancassurance,252400
3096,267.0,2019-01-10,92006.0,7,South,Agent,584400
3097,268.0,2021-09-27,34494.0,14,South,Bancassurance,422800
3138,269.0,2024-02-26,81086.0,7,Central,Bancassurance,893400
3144,270.0,2025-03-10,336280.0,3,North,Broker,997300
3145,271.0,2022-03-28,119415.0,8,South,Agent,874900
3165,272.0,2022-08-08,326341.0,15,North,Direct,491200
3174,273.0,2021-09-14,55479.0,1,Central,Direct,594200
3176,274.0,2024-05-16,327306.0,15,East,Broker,1421700
3184,275.0,2021-04-14,166667.0,5,West,Broker,1283500
3192,276.0,2022-02-04,41861.0,1,South,Broker,467400
3223,277.0,2020-08-02,616641.0,1,East,Agent,1148700
3233,278.0,2019-03-12,172305.0,15,North,Online,377100
3237,279.0,2018-03-27,361780.0,5,East,Agent,1383900
3264,280.0,2022-06-08,212971.0,15,South,Online,1190800
3271,281.0,2022-07-29,227374.0,3,Central,Agent,864800
3285,282.0,2024-10-17,431062.0,11,West,Broker,727900
3290,283.0,2024-07-21,99928.0,14,North,Bancassurance,655800
3293,284.0,2021-01-07,100987.0,7,North,Agent,695200
3322,285.0,2024-09-27,22065.0,13,North,Agent,553000
3331,286.0,2023-03-08,110298.0,13,North,Agent,436000
3351,287.0,2024-04-15,118840.0,7,East,Agent,1134800
3362,288.0,2024-09-27,26693.0,12,East,Agent,664400
3368,289.0,2025-04-24,61510.0,11,West,Agent,861900
3376,290.0,2022-01-29,23622.0,14,West,Bancassurance,948900
3379,291.0,2023-10-01,640223.0,15,East,Direct,1262900
3385,292.0,2024-09-22,6831.0,0,South,Direct,302100
3385,293.0,2024-10-12,38315.0,0,South,Direct,302100
3400,294.0,2022-03-30,22005.0,12,North,Online,750800
3411,295.0,2021-08-23,30269.0,6,North,Broker,374200
3412,296.0,2023-06-26,105393.0,0,North,Online,1441900
3415,297.0,2021-03-07,63275.0,10,North,Broker,446600
3417,298.0,2025-03-17,238656.0,15,North,Broker,694100
3419,299.0,2018-10-25,272273.0,2,South,Agent,952200
3421,300.0,2019-11-22,69988.0,2,Central,Broker,1386700
3427,301.0,2018-10-08,7207.0,3,West,Agent,210300
3435,302.0,2019-01-30,134526.0,4,North,Agent,1101700
3446,303.0,2019-08-26,28825.0,9,West,Broker,1136400
3447,304.0,2020-01-20,457319.0,14,West,Direct,2196200
3449,305.0,2019-03-31,42981.0,4,Central,Agent,951700
3456,306.0,2018-09-18,32050.0,4,East,Direct,674100
3469,307.0,2020-05-30,55789.0,12,Central,Agent,657000
3470,308.0,2022-07-09,28496.0,13,South,Bancassurance,245100
3498,309.0,2024-09-20,34877.0,9,North,Broker,401300
3518,310.0,2021-12-02,110075.0,10,North,Broker,560200
3543,311.0,2023-07-11,74899.0,2,East,Direct,2191000
3547,313.0,2024-03-08,73484.0,12,East,Broker,321500
3559,314.0,2025-06-05,5493.0,12,West,Bancassurance,222500
3577,315.0,2022-09-19,95376.0,8,South,Broker,807100
3618,316.0,2020-04-02,927919.0,11,East,Agent,1548900
3625,317.0,2022-03-23,33846.0,3,West,Agent,374600
3639,318.0,2023-04-12,101441.0,3,East,Direct,493100
3651,319.0,2021-02-22,86323.0,14,West,Broker,610200
3656,320.0,2024-04-22,85124.0,4,North,Agent,761300
3662,321.0,2025-07-29,144819.0,11,East,Agent,1244100
3672,322.0,2020-05-09,19500.0,9,West,Online,443600
3673,323.0,2023-06-13,154244.0,4,East,Agent,3252600
3679,324.0,2022-09-29,66671.0,12,North,Broker,395800
3681,325.0,2021-07-13,349082.0,10,East,Bancassurance,961600
3698,327.0,2020-08-30,123090.0,12,West,Online,1365700
3705,328.0,2018-11-17,181935.0,14,South,Agent,1006700
3716,329.0,2022-12-21,163433.0,15,North,Direct,309500
3750,330.0,2023-09-06,464107.0,14,South,Agent,1455400
3754,331.0,2025-06-26,36415.0,1,North,Agent,218300
3771,332.0,2020-11-03,33652.0,6,East,Bancassurance,470700
3774,334.0,2022-01-18,59531.0,2,South,Online,274800
3774,333.0,2021-09-02,47538.0,2,South,Online,274800
3784,335.0,2023-02-02,146079.0,8,Central,Broker,846300
3794,336.0,2018-10-05,50463.0,15,North,Broker,801400
3795,337.0,2024-09-07,290860.0,12,North,Agent,999800
3798,338.0,2021-04-06,68699.0,12,East,Agent,371200
3812,339.0,2018-12-24,122817.0,6,South,Agent,1179800
3843,340.0,2023-08-04,52907.0,8,East,Agent,434600
3862,341.0,2019-04-24,107239.0,5,Central,Agent,725800
3902,342.0,2022-01-18,19445.0,13,West,Online,271300
3933,343.0,2019-02-20,239182.0,8,West,Direct,1154300
3950,344.0,2021-06-23,66157.0,10,East,Online,510700
3967,345.0,2024-01-16,111495.0,13,South,Broker,1273300
3972,346.0,2018-11-12,42335.0,11,West,Agent,931000
3972,347.0,2018-10-15,109547.0,11,West,Agent,931000
3976,348.0,2020-12-23,75324.0,8,North,Online,1847100
3983,349.0,2024-02-26,86198.0,5,West,Broker,1110400
3990,350.0,2023-07-18,53299.0,14,South,Agent,584200
3999,351.0,2025-09-20,74672.0,15,Central,Agent,1540400
4031,352.0,2025-05-21,82363.0,7,Central,Online,968100
4040,353.0,2018-09-23,78453.0,1,East,Agent,295200
4050,354.0,2023-08-16,26122.0,10,East,Bancassurance,624700
4060,355.0,2020-11-20,65968.0,10,South,Direct,796300
4085,356.0,2021-02-08,279248.0,14,East,Bancassurance,1131000
4095,357.0,2022-12-24,59161.0,3,West,Direct,935800
4096,358.0,2020-10-06,29372.0,13,South,Agent,801300
4099,359.0,2024-12-10,388023.0,4,South,Bancassurance,548700
4134,360.0,2020-01-27,113964.0,5,Central,Agent,731300
4168,361.0,2020-05-31,59729.0,5,West,Direct,403600
4171,362.0,2022-05-04,52104.0,12,North,Broker,910700
4176,363.0,2022-02-03,204675.0,11,South,Agent,1005500
4177,364.0,2024-01-29,15823.0,10,West,Agent,290900
4189,365.0,2019-07-17,89730.0,15,North,Online,522700
4205,366.0,2022-12-07,90692.0,2,Central,Agent,749300
4227,367.0,2024-12-11,77530.0,5,South,Online,750500
4228,369.0,2021-09-11,73448.0,15,West,Direct,351100
4228,368.0,2021-05-21,50846.0,15,West,Direct,351100
4229,370.0,2024-06-27,5556.0,8,North,Broker,778400
4243,371.0,2019-03-30,10578.0,11,East,Agent,225900
4246,372.0,2019-12-27,210597.0,8,South,Agent,572100
4252,373.0,2020-09-04,12442.0,11,North,Agent,195300
4254,374.0,2022-09-12,85837.0,11,North,Agent,945200
4273,375.0,2019-04-26,296585.0,13,West,Broker,1485300
4282,376.0,2025-04-20,70183.0,12,North,Online,845100
4303,377.0,2025-03-21,116721.0,5,West,Broker,1290000
4304,378.0,2019-11-30,50594.0,4,East,Direct,795300
4316,379.0,2021-06-03,9134.0,2,South,Agent,312800
4330,380.0,2025-02-23,236478.0,12,East,Direct,636000
4334,381.0,2022-11-19,182857.0,15,West,Online,1190300
4339,382.0,2020-03-20,70016.0,15,Central,Agent,1189800
4340,383.0,2020-10-13,19878.0,8,West,Agent,762700
4348,384.0,2022-08-08,32641.0,11,North,Online,656600
4350,385.0,2024-12-13,62875.0,13,South,Agent,380000
4356,386.0,2023-01-04,505165.0,7,West,Broker,1234000
4389,387.0,2019-07-07,1296810.0,8,East,Agent,1440900
4411,388.0,2025-03-04,62661.0,15,East,Agent,698700
4412,389.0,2025-02-24,121455.0,5,Central,Online,274500
4414,390.0,2020-08-04,33491.0,15,South,Agent,902100
4421,391.0,2025-09-12,72548.0,14,East,Agent,480400
4421,392.0,2025-03-07,56668.0,14,East,Agent,480400
4429,393.0,2019-07-22,285461.0,9,South,Broker,746500
4455,394.0,2024-02-02,68058.0,1,North,Bancassurance,883400
4459,395.0,2021-11-04,46382.0,5,South,Broker,281100
4480,396.0,2023-01-30,150986.0,5,East,Direct,544600
4496,397.0,2023-07-31,269062.0,1,South,Direct,722500
4514,398.0,2022-12-28,98269.0,4,West,Bancassurance,1204200
4531,399.0,2023-12-21,163548.0,11,North,Broker,560600
4547,400.0,2025-11-11,27788.0,12,South,Bancassurance,376400
4554,402.0,2022-01-06,48416.0,8,Central,Online,347300
4554,401.0,2021-08-16,83613.0,8,Central,Online,347300
4555,403.0,2023-11-12,165206.0,10,West,Agent,570400
4559,404.0,2020-05-01,77369.0,4,North,Agent,762000
4561,405.0,2021-02-17,49864.0,14,West,Agent,1330300
4571,406.0,2021-12-07,39463.0,2,West,Agent,405400
4582,407.0,2020-02-02,29029.0,10,West,Online,950600
4600,408.0,2019-10-19,35214.0,2,East,Agent,550100
4610,409.0,2021-07-09,55799.0,5,South,Agent,1216200
4623,410.0,2023-03-19,105558.0,11,South,Agent,888500
4624,411.0,2024-08-22,323340.0,2,South,Direct,1300800
4656,412.0,2020-06-16,18426.0,9,Central,Broker,1252200
4659,413.0,2022-10-01,280266.0,10,North,Agent,738700
4664,414.0,2024-01-08,409492.0,13,West,Agent,999200
4684,415.0,2024-12-13,217501.0,1,North,Direct,818700
4728,416.0,2018-12-25,143721.0,15,West,Broker,2056400
4737,417.0,2023-12-18,22947.0,14,East,Agent,641800
4752,418.0,2023-11-16,77222.0,9,North,Broker,481000
4758,419.0,2021-03-05,134252.0,2,East,Agent,645500
4781,420.0,2023-01-07,107572.0,6,South,Broker,1250500
4784,421.0,2021-12-27,64631.0,6,West,Online,494500
4803,422.0,2022-10-17,486866.0,9,North,Online,721300
4804,423.0,2023-09-26,9328.0,9,West,Online,236000
4814,424.0,2021-03-18,18861.0,6,East,Bancassurance,360400
4816,425.0,2021-09-23,104947.0,10,Central,Agent,1620300
4820,426.0,2018-04-03,76263.0,14,East,Agent,710200
4841,427.0,2024-02-27,77612.0,14,North,Online,686700
4855,428.0,2019-10-12,7682.0,4,East,Agent,218900
4872,429.0,2021-08-18,13290.0,14,South,Online,219700
4900,430.0,2019-01-29,88585.0,5,East,Agent,1207200
4934,431.0,2024-03-19,333358.0,11,North,Agent,1025700
4938,432.0,2022-01-17,69407.0,5,East,Agent,673100
4939,433.0,2019-11-01,24387.0,11,North,Broker,461200
4952,434.0,2023-09-30,34245.0,13,North,Direct,1147100
4958,435.0,2022-10-15,51581.0,7,East,Online,463800
4964,436.0,2018-09-03,11276.0,8,South,Online,213600
4965,437.0,2024-06-07,115230.0,3,Central,Broker,835100
4991,438.0,2025-06-23,632790.0,13,West,Agent,1987000
4992,439.0,2020-07-18,94624.0,4,East,Agent,1160300
4998,440.0,2019-12-22,32758.0,8,West,Direct,836700
5003,441.0,2018-09-08,39249.0,2,Central,Agent,1130300
5009,442.0,2024-03-15,28369.0,8,North,Online,602200
5036,443.0,2020-05-10,106806.0,14,East,Online,284700
5055,444.0,2024-03-03,119197.0,9,South,Agent,533900
5056,445.0,2020-08-06,25496.0,4,West,Agent,554600
5058,447.0,2020-01-26,173701.0,7,West,Online,841800
5058,446.0,2019-08-07,278309.0,7,West,Online,841800
5086,448.0,2023-03-21,40098.0,8,West,Agent,573700
5103,449.0,2024-06-13,70647.0,2,West,Bancassurance,841000
5129,450.0,2022-04-14,67092.0,14,Central,Bancassurance,1534000
5149,451.0,2019-12-02,6515.0,12,North,Online,369600
5156,452.0,2023-11-24,337371.0,13,North,Direct,1270300
5186,453.0,2021-03-30,32276.0,11,South,Agent,729000
5194,454.0,2019-06-22,108915.0,11,South,Online,554300
5205,455.0,2019-06-16,377590.0,14,South,Bancassurance,1095700
5238,456.0,2022-04-05,28416.0,2,North,Agent,521000
5240,457.0,2020-06-30,44104.0,13,West,Broker,973500
5245,458.0,2020-05-24,144160.0,5,Central,Direct,537600
5248,459.0,2020-09-22,43403.0,11,East,Agent,563600
5254,460.0,2021-08-13,110535.0,7,South,Agent,691600
5255,461.0,2021-11-22,3614.0,14,East,Online,552800
5275,462.0,2024-12-11,2000.0,10,South,Agent,368700
5312,463.0,2021-08-06,414648.0,2,West,Agent,1063800
5318,464.0,2024-11-12,18164.0,4,North,Broker,353500
5353,465.0,2023-01-07,237781.0,7,South,Online,591800
