policy_id,claim_id,accident_date,accident_year,development_year,claim_amount
977.0,83,2021-02-11,2021,3,529861.0
993.0,84,2021-08-25,2021,2,75979.0
994.0,85,2020-05-06,2020,4,50337.0
1002.0,86,2018-07-08,2018,6,31367.0
1023.0,87,2024-05-23,2024,1,20593.0
1033.0,88,2021-07-30,2021,2,201354.0
1044.0,89,2023-08-23,2023,0,80326.0
1072.0,90,2021-07-15,2021,4,13956.0
1076.0,91,2019-07-08,2019,3,312451.0
1095.0,92,2021-11-25,2021,2,19331.0
1111.0,93,2023-01-18,2023,2,95932.0
1114.0,94,2023-01-31,2023,1,154392.0
1114.0,95,2023-03-03,2023,0,56775.0
1118.0,96,2023-08-01,2023,2,46618.0
1122.0,97,2024-08-26,2024,1,33959.0
1132.0,98,2021-02-05,2021,0,68166.0
1134.0,99,2021-01-28,2021,4,70521.0
1163.0,100,2021-10-04,2021,1,43777.0
1171.0,101,2020-06-22,2020,5,65577.0
1183.0,102,2024-03-15,2024,1,120560.0
1189.0,103,2025-02-10,2025,0,20219.0
1223.0,104,2022-04-24,2022,0,24685.0
1225.0,105,2024-11-30,2024,0,145747.0
1235.0,106,2018-12-10,2018,6,11189.0
1272.0,107,2018-04-06,2018,3,94493.0
1287.0,108,2021-01-04,2021,0,29498.0
1301.0,109,2022-01-29,2022,1,131567.0
1319.0,110,2019-05-09,2019,0,36032.0
1326.0,111,2023-04-25,2023,2,80770.0
1326.0,112,2023-11-11,2023,2,30369.0
1330.0,113,2022-04-30,2022,0,74498.0
1334.0,114,2019-11-09,2019,4,105534.0
1357.0,115,2025-08-27,2025,0,255031.0
1358.0,116,2020-05-28,2020,3,34735.0
1363.0,117,2021-12-07,2021,0,49067.0
1367.0,118,2020-07-29,2020,2,15737.0
1370.0,119,2023-09-16,2023,2,113664.0
1371.0,120,2019-10-27,2019,5,204365.0
1377.0,121,2024-07-27,2024,0,58347.0
1382.0,122,2019-03-25,2019,6,12743.0
1385.0,123,2018-04-16,2018,7,113414.0
1389.0,124,2020-02-15,2020,5,278932.0
1390.0,125,2023-08-23,2023,1,94801.0
1390.0,126,2023-09-07,2023,1,108029.0
1403.0,127,2023-08-28,2023,1,25205.0
1448.0,128,2023-08-02,2023,0,147693.0
1472.0,129,2024-01-01,2024,0,136067.0
1479.0,130,2022-04-25,2022,2,192048.0
1498.0,131,2019-05-28,2019,6,287097.0
1501.0,132,2020-08-07,2020,4,68903.0
1506.0,133,2018-05-15,2018,4,9657.0
1515.0,134,2021-12-11,2021,3,14361.0
1538.0,135,2022-10-01,2022,3,8332.0
1539.0,136,2021-09-22,2021,1,45603.0
1545.0,137,2021-02-04,2021,4,97920.0
1548.0,138,2019-03-13,2019,4,129796.0
1556.0,139,2022-04-26,2022,2,44664.0
1563.0,140,2018-03-28,2018,7,347116.0
1609.0,141,2019-09-25,2019,5,153267.0
1611.0,142,2019-12-01,2019,1,57238.0
1619.0,143,2020-09-28,2020,3,21228.0
1621.0,144,2025-02-16,2025,0,426442.0
1621.0,145,2025-01-05,2025,0,225529.0
1622.0,146,2024-06-18,2024,1,40330.0
1623.0,147,2020-02-10,2020,1,410632.0
1672.0,148,2019-09-07,2019,6,135224.0
1676.0,149,2024-02-15,2024,0,171324.0
1738.0,150,2020-11-28,2020,5,218497.0
1740.0,151,2021-06-28,2021,3,68529.0
1770.0,152,2018-10-06,2018,0,58424.0
1771.0,153,2021-06-09,2021,1,799380.0
1790.0,154,2019-05-14,2019,2,203497.0
1815.0,155,2020-01-29,2020,2,77358.0
1820.0,156,2020-12-06,2020,2,72750.0
1830.0,157,2019-07-17,2019,3,133437.0
1834.0,158,2018-05-26,2018,0,25518.0
1862.0,159,2020-12-05,2020,1,48275.0
1911.0,160,2018-10-02,2018,3,67880.0
1913.0,162,2025-01-31,2025,0,183451.0
1913.0,161,2024-05-31,2024,0,61390.0
1925.0,163,2019-03-30,2019,0,51137.0
1931.0,164,2024-03-13,2024,1,163809.0
1934.0,165,2022-11-10,2022,3,12344.0
1934.0,166,2022-10-17,2022,2,65307.0
1942.0,167,2023-03-19,2023,0,729211.0
1956.0,168,2023-06-05,2023,0,40806.0
1983.0,169,2022-12-08,2022,1,294335.0
1994.0,170,2025-05-25,2025,0,67432.0
1995.0,171,2023-09-19,2023,2,19134.0
2019.0,172,2021-01-14,2021,1,24550.0
2033.0,173,2021-03-03,2021,3,102904.0
2046.0,175,2024-01-01,2024,0,85182.0
2046.0,174,2023-12-26,2023,1,255141.0
2053.0,176,2019-09-12,2019,3,63339.0
2071.0,177,2023-05-28,2023,2,20094.0
2074.0,178,2020-03-22,2020,2,104595.0
2092.0,179,2021-04-29,2021,0,92943.0
2121.0,180,2024-12-15,2024,0,88986.0
2131.0,181,2019-11-15,2019,6,2795.0
2137.0,182,2022-12-15,2022,3,3906.0
2142.0,183,2020-05-25,2020,5,5182.0
2149.0,184,2020-10-05,2020,2,80868.0
2159.0,185,2021-06-02,2021,4,90025.0
2160.0,186,2022-02-22,2022,0,13222.0
2231.0,187,2021-06-09,2021,1,17701.0
2233.0,188,2019-02-21,2019,6,129368.0
2244.0,189,2025-05-31,2025,0,49638.0
2261.0,190,2018-09-03,2018,4,110409.0
2270.0,191,2019-08-25,2019,2,55384.0
2286.0,192,2024-11-02,2024,1,424265.0
2287.0,193,2019-12-31,2019,3,15603.0
2319.0,194,2019-02-12,2019,4,13896.0
2357.0,195,2023-12-22,2023,1,780030.0
2362.0,196,2022-05-19,2022,2,93495.0
2375.0,197,2024-04-05,2024,0,67659.0
2386.0,198,2022-08-13,2022,1,109198.0
2404.0,199,2021-07-10,2021,2,76503.0
2410.0,200,2018-09-20,2018,7,11310.0
2431.0,201,2023-06-10,2023,2,93958.0
2434.0,202,2021-03-09,2021,2,59311.0
2441.0,203,2021-05-25,2021,2,75891.0
2443.0,204,2024-08-01,2024,1,389375.0
2459.0,205,2021-08-28,2021,0,31679.0
2467.0,206,2023-05-10,2023,2,60572.0
2473.0,207,2020-05-10,2020,3,14695.0
2475.0,208,2018-11-28,2018,5,23909.0
2477.0,209,2021-06-21,2021,1,107906.0
2478.0,210,2024-11-20,2024,0,32087.0
2481.0,211,2024-06-26,2024,0,58128.0
2486.0,212,2024-12-29,2024,0,446956.0
2488.0,213,2021-07-12,2021,0,198798.0
2493.0,214,2021-08-15,2021,1,73065.0
2493.0,215,2021-04-25,2021,3,80432.0
2499.0,216,2019-05-05,2019,4,93382.0
2504.0,217,2025-10-06,2025,0,150830.0
2509.0,218,2022-08-23,2022,0,124447.0
2517.0,219,2021-06-05,2021,2,253902.0
2519.0,220,2023-11-14,2023,2,22379.0
2526.0,221,2021-06-02,2021,0,447787.0
2540.0,222,2021-10-18,2021,3,173775.0
2568.0,223,2024-08-17,2024,1,72941.0
2614.0,224,2025-08-31,2025,0,204322.0
2630.0,225,2021-10-21,2021,3,282328.0
2636.0,226,2023-12-03,2023,1,84274.0
2639.0,227,2021-10-19,2021,2,604080.0
2639.0,228,2021-09-08,2021,2,63418.0
2640.0,229,2024-07-30,2024,1,75037.0
2660.0,230,2021-08-21,2021,0,379192.0
2676.0,231,2021-12-14,2021,4,51172.0
2705.0,232,2019-03-05,2019,1,225625.0
2708.0,233,2018-09-06,2018,4,42161.0
2736.0,234,2022-07-20,2022,1,40806.0
2743.0,235,2023-08-31,2023,2,16222.0
2747.0,236,2019-10-06,2019,2,86762.0
2765.0,237,2019-06-08,2019,2,98490.0
2778.0,238,2022-08-21,2022,3,55255.0
2785.0,239,2023-11-04,2023,2,274966.0
2822.0,241,2025-08-18,2025,0,216791.0
2822.0,240,2024-11-27,2024,0,68574.0
2823.0,242,2018-05-18,2018,1,485663.0
2845.0,244,2023-01-09,2023,2,166239.0
2845.0,243,2022-11-12,2022,2,9427.0
2882.0,245,2023-11-24,2023,1,264817.0
2883.0,246,2019-12-02,2019,6,22978.0
2890.0,247,2019-04-01,2019,3,4171.0
2902.0,248,2025-05-05,2025,0,56188.0
2913.0,249,2025-07-01,2025,0,92291.0
2920.0,250,2023-06-29,2023,1,69139.0
2934.0,251,2024-04-16,2024,1,78951.0
2963.0,252,2022-12-02,2022,2,28058.0
2965.0,253,2023-09-25,2023,2,10455.0
2975.0,254,2020-02-03,2020,0,104927.0
2978.0,255,2020-11-29,2020,3,93158.0
2998.0,256,2020-04-28,2020,0,20564.0
3008.0,257,2019-09-17,2019,1,70528.0
3017.0,258,2024-05-24,2024,1,94843.0
3027.0,259,2021-08-03,2021,0,22344.0
3035.0,260,2020-07-19,2020,2,154288.0
3037.0,261,2019-08-07,2019,3,51961.0
3043.0,262,2020-10-21,2020,5,53804.0
3053.0,263,2024-05-01,2024,0,56531.0
3061.0,264,2024-06-18,2024,0,71920.0
3066.0,265,2023-04-29,2023,1,298270.0
3067.0,266,2019-04-09,2019,5,28638.0
3096.0,267,2019-01-10,2019,3,92006.0
3097.0,268,2021-09-27,2021,4,34494.0
3138.0,269,2024-02-26,2024,1,81086.0
3144.0,270,2025-03-10,2025,0,336280.0
3145.0,271,2022-03-28,2022,1,119415.0
3165.0,272,2022-08-08,2022,2,326341.0
3174.0,273,2021-09-14,2021,3,55479.0
3176.0,274,2024-05-16,2024,1,327306.0
3184.0,275,2021-04-14,2021,1,166667.0
3192.0,276,2022-02-04,2022,0,41861.0
3223.0,277,2020-08-02,2020,3,616641.0
3233.0,278,2019-03-12,2019,6,172305.0
3237.0,279,2018-03-27,2018,2,361780.0
3264.0,280,2022-06-08,2022,2,212971.0
3271.0,281,2022-07-29,2022,1,227374.0
3285.0,282,2024-10-17,2024,1,431062.0
3290.0,283,2024-07-21,2024,0,99928.0
3293.0,284,2021-01-07,2021,1,100987.0
3322.0,285,2024-09-27,2024,0,22065.0
3331.0,286,2023-03-08,2023,1,110298.0
3351.0,287,2024-04-15,2024,0,118840.0
3362.0,288,2024-09-27,2024,0,26693.0
3368.0,289,2025-04-24,2025,0,61510.0
3376.0,290,2022-01-29,2022,1,23622.0
3379.0,291,2023-10-01,2023,1,640223.0
3385.0,292,2024-09-22,2024,1,6831.0
3385.0,293,2024-10-12,2024,0,38315.0
3400.0,294,2022-03-30,2022,1,22005.0
3411.0,295,2021-08-23,2021,4,30269.0
3412.0,296,2023-06-26,2023,1,105393.0
3415.0,297,2021-03-07,2021,3,63275.0
3417.0,298,2025-03-17,2025,0,238656.0
3419.0,299,2018-10-25,2018,0,272273.0
3421.0,300,2019-11-22,2019,2,69988.0
3427.0,301,2018-10-08,2018,1,7207.0
3435.0,302,2019-01-30,2019,1,134526.0
3446.0,303,2019-08-26,2019,1,28825.0
3447.0,304,2020-01-20,2020,5,457319.0
3449.0,305,2019-03-31,2019,4,42981.0
3456.0,306,2018-09-18,2018,0,32050.0
3469.0,307,2020-05-30,2020,2,55789.0
3470.0,308,2022-07-09,2022,3,28496.0
3498.0,309,2024-09-20,2024,0,34877.0
3518.0,310,2021-12-02,2021,1,110075.0
3543.0,311,2023-07-11,2023,0,74899.0
3547.0,313,2024-03-08,2024,0,73484.0
3547.0,312,2023-08-15,2023,1,123809.0
3559.0,314,2025-06-05,2025,0,5493.0
3577.0,315,2022-09-19,2022,0,95376.0
3618.0,316,2020-04-02,2020,4,927919.0
3625.0,317,2022-03-23,2022,1,33846.0
3639.0,318,2023-04-12,2023,0,101441.0
3651.0,319,2021-02-22,2021,3,86323.0
3656.0,320,2024-04-22,2024,1,85124.0
3662.0,321,2025-07-29,2025,0,144819.0
3672.0,322,2020-05-09,2020,4,19500.0
3673.0,323,2023-06-13,2023,2,154244.0
3679.0,324,2022-09-29,2022,3,66671.0
3681.0,325,2021-07-13,2021,2,349082.0
3682.0,326,2020-11-09,2020,2,158143.0
3698.0,327,2020-08-30,2020,2,123090.0
3705.0,328,2018-11-17,2018,3,181935.0
3716.0,329,2022-12-21,2022,1,163433.0
3750.0,330,2023-09-06,2023,2,464107.0
3754.0,331,2025-06-26,2025,0,36415.0
3771.0,332,2020-11-03,2020,0,33652.0
3774.0,334,2022-01-18,2022,1,59531.0
3774.0,333,2021-09-02,2021,3,47538.0
3784.0,335,2023-02-02,2023,2,146079.0
3794.0,336,2018-10-05,2018,1,50463.0
3795.0,337,2024-09-07,2024,1,290860.0
3798.0,338,2021-04-06,2021,4,68699.0
3812.0,339,2018-12-24,2018,1,122817.0
3843.0,340,2023-08-04,2023,2,52907.0
3862.0,341,2019-04-24,2019,3,107239.0
3902.0,342,2022-01-18,2022,2,19445.0
3933.0,343,2019-02-20,2019,0,239182.0
3950.0,344,2021-06-23,2021,3,66157.0
3967.0,345,2024-01-16,2024,0,111495.0
3972.0,346,2018-11-12,2018,4,42335.0
3972.0,347,2018-10-15,2018,2,109547.0
3976.0,348,2020-12-23,2020,5,75324.0
3983.0,349,2024-02-26,2024,0,86198.0
3990.0,350,2023-07-18,2023,1,53299.0
3999.0,351,2025-09-20,2025,0,74672.0
4031.0,352,2025-05-21,2025,0,82363.0
4040.0,353,2018-09-23,2018,6,78453.0
4050.0,354,2023-08-16,2023,1,26122.0
4060.0,355,2020-11-20,2020,5,65968.0
4085.0,356,2021-02-08,2021,0,279248.0
4095.0,357,2022-12-24,2022,3,59161.0
4096.0,358,2020-10-06,2020,3,29372.0
4099.0,359,2024-12-10,2024,1,388023.0
4134.0,360,2020-01-27,2020,4,113964.0
4168.0,361,2020-05-31,2020,0,59729.0
4171.0,362,2022-05-04,2022,1,52104.0
4176.0,363,2022-02-03,2022,3,204675.0
4177.0,364,2024-01-29,2024,1,15823.0
4189.0,365,2019-07-17,2019,6,89730.0
4205.0,366,2022-12-07,2022,3,90692.0
4227.0,367,2024-12-11,2024,1,77530.0
4228.0,369,2021-09-11,2021,2,73448.0
4228.0,368,2021-05-21,2021,4,50846.0
4229.0,370,2024-06-27,2024,1,5556.0
4243.0,371,2019-03-30,2019,0,10578.0
4246.0,372,2019-12-27,2019,2,210597.0
4252.0,373,2020-09-04,2020,5,12442.0
4254.0,374,2022-09-12,2022,1,85837.0
4273.0,375,2019-04-26,2019,0,296585.0
4282.0,376,2025-04-20,2025,0,70183.0
4303.0,377,2025-03-21,2025,0,116721.0
4304.0,378,2019-11-30,2019,0,50594.0
4316.0,379,2021-06-03,2021,2,9134.0
4330.0,380,2025-02-23,2025,0,236478.0
4334.0,381,2022-11-19,2022,1,182857.0
4339.0,382,2020-03-20,2020,3,70016.0
4340.0,383,2020-10-13,2020,5,19878.0
4348.0,384,2022-08-08,2022,0,32641.0
4350.0,385,2024-12-13,2024,1,62875.0
4356.0,386,2023-01-04,2023,2,505165.0
4389.0,387,2019-07-07,2019,1,1296810.0
4411.0,388,2025-03-04,2025,0,62661.0
4412.0,389,2025-02-24,2025,0,121455.0
4414.0,390,2020-08-04,2020,3,33491.0
4421.0,391,2025-09-12,2025,0,72548.0
4421.0,392,2025-03-07,2025,0,56668.0
4429.0,393,2019-07-22,2019,3,285461.0
4455.0,394,2024-02-02,2024,0,68058.0
4459.0,395,2021-11-04,2021,4,46382.0
4480.0,396,2023-01-30,2023,1,150986.0
4496.0,397,2023-07-31,2023,1,269062.0
4514.0,398,2022-12-28,2022,3,98269.0
4531.0,399,2023-12-21,2023,2,163548.0
4547.0,400,2025-11-11,2025,0,27788.0
4554.0,402,2022-01-06,2022,3,48416.0
4554.0,401,2021-08-16,2021,3,83613.0
4555.0,403,2023-11-12,2023,1,165206.0
4559.0,404,2020-05-01,2020,3,77369.0
4561.0,405,2021-02-17,2021,3,49864.0
4571.0,406,2021-12-07,2021,4,39463.0
4582.0,407,2020-02-02,2020,3,29029.0
4600.0,408,2019-10-19,2019,6,35214.0
4610.0,409,2021-07-09,2021,0,55799.0
4623.0,410,2023-03-19,2023,1,105558.0
4624.0,411,2024-08-22,2024,0,323340.0
4656.0,412,2020-06-16,2020,1,18426.0
4659.0,413,2022-10-01,2022,3,280266.0
4664.0,414,2024-01-08,2024,1,409492.0
4684.0,415,2024-12-13,2024,1,217501.0
4728.0,416,2018-12-25,2018,6,143721.0
4737.0,417,2023-12-18,2023,1,22947.0
4752.0,418,2023-11-16,2023,1,77222.0
4758.0,419,2021-03-05,2021,4,134252.0
4781.0,420,2023-01-07,2023,0,107572.0
4784.0,421,2021-12-27,2021,1,64631.0
4803.0,422,2022-10-17,2022,0,486866.0
4804.0,423,2023-09-26,2023,0,9328.0
4814.0,424,2021-03-18,2021,3,18861.0
4816.0,425,2021-09-23,2021,4,104947.0
4820.0,426,2018-04-03,2018,0,76263.0
4841.0,427,2024-02-27,2024,1,77612.0
4855.0,428,2019-10-12,2019,6,7682.0
4872.0,429,2021-08-18,2021,2,13290.0
4900.0,430,2019-01-29,2019,2,88585.0
4934.0,431,2024-03-19,2024,0,333358.0
4938.0,432,2022-01-17,2022,2,69407.0
4939.0,433,2019-11-01,2019,4,24387.0
4952.0,434,2023-09-30,2023,2,34245.0
4958.0,435,2022-10-15,2022,0,51581.0
4964.0,436,2018-09-03,2018,2,11276.0
4965.0,437,2024-06-07,2024,0,115230.0
4991.0,438,2025-06-23,2025,0,632790.0
4992.0,439,2020-07-18,2020,2,94624.0
4998.0,440,2019-12-22,2019,6,32758.0
5003.0,441,2018-09-08,2018,6,39249.0
5009.0,442,2024-03-15,2024,0,28369.0
5036.0,443,2020-05-10,2020,3,106806.0
5055.0,444,2024-03-03,2024,0,119197.0
5056.0,445,2020-08-06,2020,4,25496.0
5058.0,447,2020-01-26,2020,3,173701.0
5058.0,446,2019-08-07,2019,3,278309.0
5086.0,448,2023-03-21,2023,0,40098.0
5103.0,449,2024-06-13,2024,1,70647.0
5129.0,450,2022-04-14,2022,1,67092.0
5149.0,451,2019-12-02,2019,0,6515.0
5156.0,452,2023-11-24,2023,2,337371.0
5186.0,453,2021-03-30,2021,0,32276.0
5194.0,454,2019-06-22,2019,5,108915.0
5205.0,455,2019-06-16,2019,6,377590.0
5238.0,456,2022-04-05,2022,2,28416.0
5240.0,457,2020-06-30,2020,5,44104.0
5245.0,458,2020-05-24,2020,0,144160.0
5248.0,459,2020-09-22,2020,4,43403.0
5254.0,460,2021-08-13,2021,3,110535.0
5255.0,461,2021-11-22,2021,3,3614.0
5275.0,462,2024-12-11,2024,1,2000.0
5312.0,463,2021-08-06,2021,0,414648.0
5318.0,464,2024-11-12,2024,1,18164.0
5353.0,465,2023-01-07,2023,1,237781.0
5354.0,466,2019-01-14,2019,5,342090.0
5369.0,467,2020-03-30,2020,1,15046.0
5384.0,468,2022-03-12,2022,0,28021.0
5386.0,469,2021-10-01,2021,2,78269.0
5398.0,471,2024-01-14,2024,0,114079.0
5398.0,470,2023-11-25,2023,0,61114.0
5402.0,472,2022-12-04,2022,0,68201.0
5403.0,473,2020-03-24,2020,2,370807.0
5434.0,474,2019-06-21,2019,1,125456.0
5455.0,475,2022-05-05,2022,3,121600.0
5457.0,476,2018-11-23,2018,5,231219.0
5468.0,477,2024-02-22,2024,0,61965.0
5510.0,478,2020-08-04,2020,4,233242.0
5527.0,479,2022-01-25,2022,0,28776.0
5538.0,480,2022-02-04,2022,1,30623.0
5561.0,481,2023-10-18,2023,1,26316.0
5561.0,482,2023-08-24,2023,0,40268.0
5571.0,483,2020-09-29,2020,5,30421.0
5581.0,484,2020-01-13,2020,3,9921.0
5602.0,485,2018-11-20,2018,3,15724.0
5604.0,486,2021-04-06,2021,1,214820.0
5616.0,487,2021-06-02,2021,0,52261.0
5616.0,488,2021-03-04,2021,3,120771.0
5627.0,489,2022-08-22,2022,3,296282.0
5629.0,490,2019-11-06,2019,5,14251.0
5636.0,491,2020-11-30,2020,4,14535.0
5641.0,492,2021-09-09,2021,1,24387.0
5645.0,493,2021-01-26,2021,4,154865.0
5647.0,494,2023-01-23,2023,0,248432.0
5651.0,495,2024-06-22,2024,1,130354.0
5653.0,496,2022-01-24,2022,2,55535.0
5654.0,497,2023-03-25,2023,2,17885.0
5667.0,498,2022-02-12,2022,1,137803.0
5681.0,499,2020-07-29,2020,0,105920.0
5703.0,500,2020-03-26,2020,4,195288.0
5706.0,501,2019-03-01,2019,2,35334.0
5727.0,502,2020-08-10,2020,3,123280.0
5740.0,503,2021-05-06,2021,4,69195.0
5780.0,504,2022-08-07,2022,2,157025.0
5801.0,505,2020-05-14,2020,2,318125.0
5807.0,506,2021-10-12,2021,0,564092.0
5812.0,507,2025-06-04,2025,0,29078.0
5817.0,508,2020-01-30,2020,5,25579.0
5824.0,509,2024-11-10,2024,0,77366.0
5825.0,510,2020-01-19,2020,1,183517.0
5826.0,511,2022-10-25,2022,1,27989.0
5837.0,512,2019-06-28,2019,3,299678.0
5855.0,513,2023-10-19,2023,1,78090.0
5882.0,514,2019-11-13,2019,1,20093.0
5910.0,515,2019-12-18,2019,2,160821.0
5928.0,516,2020-04-28,2020,3,46221.0
5931.0,517,2019-07-01,2019,4,81551.0
5973.0,518,2022-01-21,2022,3,172144.0
5991.0,519,2021-03-30,2021,3,36629.0
6011.0,520,2024-05-27,2024,1,93288.0
6013.0,521,2021-02-16,2021,1,138332.0
6026.0,522,2023-07-16,2023,1,17809.0
6030.0,523,2020-06-18,2020,0,50633.0
6055.0,524,2022-08-07,2022,3,159566.0
6085.0,525,2023-03-11,2023,1,114891.0
6085.0,526,2023-04-11,2023,0,522483.0
6093.0,527,2022-11-08,2022,0,18832.0
6097.0,528,2023-06-29,2023,2,74180.0
6101.0,529,2024-01-23,2024,0,379547.0
6102.0,530,2021-03-26,2021,3,416360.0
6104.0,531,2021-03-24,2021,4,302451.0
6112.0,532,2019-12-01,2019,1,64703.0
6124.0,533,2019-01-03,2019,6,30406.0
6130.0,534,2022-06-19,2022,2,85701.0
6178.0,535,2025-02-05,2025,0,35419.0
6179.0,536,2024-11-30,2024,1,187615.0
6181.0,537,2023-11-15,2023,2,61278.0
6234.0,538,2019-11-20,2019,6,39309.0
6249.0,539,2022-04-12,2022,3,243011.0
6277.0,540,2023-07-28,2023,1,40876.0
6286.0,541,2022-06-20,2022,1,80174.0
6297.0,542,2024-04-25,2024,1,99211.0
6303.0,543,2025-04-21,2025,0,53049.0
6315.0,544,2020-12-09,2020,5,82786.0
6319.0,545,2018-09-06,2018,5,129899.0
6348.0,546,2019-02-27,2019,4,50202.0
6358.0,547,2020-09-01,2020,4,92964.0
6369.0,548,2019-02-08,2019,6,49590.0
6374.0,549,2018-12-29,2018,1,18340.0
6374.0,550,2018-02-15,2018,7,56678.0
6392.0,551,2019-11-22,2019,5,180488.0
6400.0,552,2019-07-10,2019,0,56438.0
6416.0,553,2019-11-04,2019,6,65511.0
6421.0,554,2022-07-01,2022,3,124335.0
6423.0,555,2021-04-11,2021,4,187714.0
6436.0,556,2022-04-14,2022,0,68202.0
6444.0,557,2022-04-28,2022,1,110045.0
6451.0,558,2021-10-31,2021,2,156641.0
6477.0,559,2021-08-24,2021,4,63947.0
6501.0,560,2024-07-23,2024,0,286974.0
6504.0,561,2020-06-01,2020,4,29589.0
6509.0,562,2022-11-13,2022,0,22304.0
6520.0,563,2024-10-09,2024,0,26384.0
6553.0,564,2021-02-19,2021,2,24051.0
6586.0,565,2024-06-06,2024,0,104307.0
6588.0,566,2019-08-28,2019,5,124115.0
6589.0,567,2021-03-24,2021,1,32003.0
6602.0,568,2019-03-12,2019,2,137342.0
6622.0,569,2021-09-05,2021,2,29633.0
6636.0,570,2019-03-05,2019,4,7933.0
6654.0,571,2020-10-26,2020,0,44153.0
6668.0,572,2021-05-31,2021,0,52862.0
6669.0,573,2020-11-08,2020,2,1627117.0
6711.0,574,2022-02-05,2022,1,35866.0
6718.0,575,2023-01-02,2023,0,81426.0
6730.0,576,2019-09-20,2019,4,431099.0
6734.0,577,2022-12-08,2022,2,564596.0
6759.0,578,2023-09-22,2023,0,23881.0
6770.0,579,2024-05-17,2024,1,40953.0
6773.0,580,2021-07-20,2021,3,277337.0
6775.0,581,2022-01-17,2022,3,68066.0
6777.0,583,2024-02-27,2024,0,95002.0
6777.0,582,2023-12-16,2023,2,242499.0
6787.0,584,2022-03-16,2022,3,478313.0
