policy_id,claim_id,accident_date,claim_amount,vehicle_age,region,channel,sum_insured,predicted_severity
2978,255.0,2020-11-29,93158.0,10,South,Direct,659100,92231.0729684019
2998,256.0,2020-04-28,20564.0,9,South,Online,876500,112316.03977453054
3008,257.0,2019-09-17,70528.0,5,West,Direct,501500,76865.03680600997
3017,258.0,2024-05-24,94843.0,7,West,Broker,652600,85771.60120191048
3027,259.0,2021-08-03,22344.0,7,North,Agent,772200,102873.43808017501
3035,260.0,2020-07-19,154288.0,1,North,Agent,1157200,156033.28346903148
3037,261.0,2019-08-07,51961.0,6,West,Agent,481200,73524.52013710045
3043,262.0,2020-10-21,53804.0,14,West,Direct,660900,91130.40103561364
3053,263.0,2024-05-01,56531.0,15,East,Broker,350900,62465.20103054134
3061,264.0,2024-06-18,71920.0,13,West,Agent,1487500,217463.25482155068
3066,265.0,2023-04-29,298270.0,13,West,Broker,1808900,298311.7410946676
3067,266.0,2019-04-09,28638.0,8,West,Bancassurance,252400,55984.29610413267
3096,267.0,2019-01-10,92006.0,7,South,Agent,584400,83258.12057148549
3097,268.0,2021-09-27,34494.0,14,South,Bancassurance,422800,68097.04622972888
3138,269.0,2024-02-26,81086.0,7,Central,Bancassurance,893400,113394.72600995663
3144,270.0,2025-03-10,336280.0,3,North,Broker,997300,127291.58554942912
3145,271.0,2022-03-28,119415.0,8,South,Agent,874900,113885.44610321551
3165,272.0,2022-08-08,326341.0,15,North,Direct,491200,77562.89505556753
3174,273.0,2021-09-14,55479.0,1,Central,Direct,594200,86214.34426741219
3176,274.0,2024-05-16,327306.0,15,East,Broker,1421700,198338.23160225127
3184,275.0,2021-04-14,166667.0,5,West,Broker,1283500,169491.0978078388
3192,276.0,2022-02-04,41861.0,1,South,Broker,467400,71250.25466843638
3223,277.0,2020-08-02,616641.0,1,East,Agent,1148700,152750.51355948104
3233,278.0,2019-03-12,172305.0,15,North,Online,377100,66038.30884238679
3237,279.0,2018-03-27,361780.0,5,East,Agent,1383900,196724.3534482912
3264,280.0,2022-06-08,212971.0,15,South,Online,1190800,157475.92282527944
3271,281.0,2022-07-29,227374.0,3,Central,Agent,864800,112852.69885871184
3285,282.0,2024-10-17,431062.0,11,West,Broker,727900,92958.92809787033
3290,283.0,2024-07-21,99928.0,14,North,Bancassurance,655800,88345.67297015434
3293,284.0,2021-01-07,100987.0,7,North,Agent,695200,94672.02612266931
3322,285.0,2024-09-27,22065.0,13,North,Agent,553000,81111.38401213505
3331,286.0,2023-03-08,110298.0,13,North,Agent,436000,71491.85237989464
3351,287.0,2024-04-15,118840.0,7,East,Agent,1134800,150301.45004515236
3362,288.0,2024-09-27,26693.0,12,East,Agent,664400,90389.03891339693
3368,289.0,2025-04-24,61510.0,11,West,Agent,861900,110765.22476092666
3376,290.0,2022-01-29,23622.0,14,West,Bancassurance,948900,118558.98098130766
3379,291.0,2023-10-01,640223.0,15,East,Direct,1262900,176203.6526394119
3385,292.0,2024-09-22,6831.0,0,South,Direct,302100,62868.542194743706
3385,293.0,2024-10-12,38315.0,0,South,Direct,302100,62868.542194743706
3400,294.0,2022-03-30,22005.0,12,North,Online,750800,98892.14724063883
3411,295.0,2021-08-23,30269.0,6,North,Broker,374200,64948.180937202735
3412,296.0,2023-06-26,105393.0,0,North,Online,1441900,208938.2177404354
3415,297.0,2021-03-07,63275.0,10,North,Broker,446600,70170.67670534278
3417,298.0,2025-03-17,238656.0,15,North,Broker,694100,91560.98309331981
3419,299.0,2018-10-25,272273.0,2,South,Agent,952200,123935.71241492915
3421,300.0,2019-11-22,69988.0,2,Central,Broker,1386700,192235.4380748522
3427,301.0,2018-10-08,7207.0,3,West,Agent,210300,54921.66195427532
3435,302.0,2019-01-30,134526.0,4,North,Agent,1101700,146878.20372352656
3446,303.0,2019-08-26,28825.0,9,West,Broker,1136400,144503.91896970614
3447,304.0,2020-01-20,457319.0,14,West,Direct,2196200,477631.0502157022
3449,305.0,2019-03-31,42981.0,4,Central,Agent,951700,123921.95214072063
3456,306.0,2018-09-18,32050.0,4,East,Direct,674100,93548.27013002771
3469,307.0,2020-05-30,55789.0,12,Central,Agent,657000,90028.37592195976
3470,308.0,2022-07-09,28496.0,13,South,Bancassurance,245100,56226.85933753256
3498,309.0,2024-09-20,34877.0,9,North,Broker,401300,66836.36077424038
3518,310.0,2021-12-02,110075.0,10,North,Broker,560200,79320.91474850384
3543,311.0,2023-07-11,74899.0,2,East,Direct,2191000,480852.2277481934
3547,313.0,2024-03-08,73484.0,12,East,Broker,321500,60550.05998379854
3559,314.0,2025-06-05,5493.0,12,West,Bancassurance,222500,54164.89869453002
3577,315.0,2022-09-19,95376.0,8,South,Broker,807100,102654.1924125676
3618,316.0,2020-04-02,927919.0,11,East,Agent,1548900,234784.66297075656
3625,317.0,2022-03-23,33846.0,3,West,Agent,374600,65574.25020075122
3639,318.0,2023-04-12,101441.0,3,East,Direct,493100,76967.07086063278
3651,319.0,2021-02-22,86323.0,14,West,Broker,610200,81824.76956779519
3656,320.0,2024-04-22,85124.0,4,North,Agent,761300,101729.90567137601
3662,321.0,2025-07-29,144819.0,11,East,Agent,1244100,168982.95000726532
3672,322.0,2020-05-09,19500.0,9,West,Online,443600,69481.35100736942
3673,323.0,2023-06-13,154244.0,4,East,Agent,3252600,1477747.763556089
3679,324.0,2022-09-29,66671.0,12,North,Broker,395800,66402.20463517087
3681,325.0,2021-07-13,349082.0,10,East,Bancassurance,961600,121497.2817123191
3698,327.0,2020-08-30,123090.0,12,West,Online,1365700,187803.586297096
3705,328.0,2018-11-17,181935.0,14,South,Agent,1006700,131136.19270969662
3716,329.0,2022-12-21,163433.0,15,North,Direct,309500,63754.500523234485
3750,330.0,2023-09-06,464107.0,14,South,Agent,1455400,212804.0029938689
3754,331.0,2025-06-26,36415.0,1,North,Agent,218300,56657.347091740055
3771,332.0,2020-11-03,33652.0,6,East,Bancassurance,470700,71593.26090945804
3774,334.0,2022-01-18,59531.0,2,South,Online,274800,58759.8140623144
3774,333.0,2021-09-02,47538.0,2,South,Online,274800,58759.8140623144
3784,335.0,2023-02-02,146079.0,8,Central,Broker,846300,107176.6712673574
3794,336.0,2018-10-05,50463.0,15,North,Broker,801400,102799.34956084426
3795,337.0,2024-09-07,290860.0,12,North,Agent,999800,131381.14917358162
3798,338.0,2021-04-06,68699.0,12,East,Agent,371200,65875.602366966
3812,339.0,2018-12-24,122817.0,6,South,Agent,1179800,158310.8264393534
3843,340.0,2023-08-04,52907.0,8,East,Agent,434600,70594.47580986534
3862,341.0,2019-04-24,107239.0,5,Central,Agent,725800,97097.7062756494
3902,342.0,2022-01-18,19445.0,13,West,Online,271300,57649.09170563929
3933,343.0,2019-02-20,239182.0,8,West,Direct,1154300,155371.96043540657
3950,344.0,2021-06-23,66157.0,10,East,Online,510700,75434.50215231423
3967,345.0,2024-01-16,111495.0,13,South,Broker,1273300,169594.80292294762
3972,346.0,2018-11-12,42335.0,11,West,Agent,931000,119339.20463933253
3972,347.0,2018-10-15,109547.0,11,West,Agent,931000,119339.20463933253
3976,348.0,2020-12-23,75324.0,8,North,Online,1847100,323010.458134287
3983,349.0,2024-02-26,86198.0,5,West,Broker,1110400,140615.63762339036
3990,350.0,2023-07-18,53299.0,14,South,Agent,584200,83127.06712105992
3999,351.0,2025-09-20,74672.0,15,Central,Agent,1540400,233389.08046917125
4031,352.0,2025-05-21,82363.0,7,Central,Online,968100,124133.29083555531
4040,353.0,2018-09-23,78453.0,1,East,Agent,295200,60819.02058634535
4050,354.0,2023-08-16,26122.0,10,East,Bancassurance,624700,84469.11083658221
4060,355.0,2020-11-20,65968.0,10,South,Direct,796300,106946.87057881066
4085,356.0,2021-02-08,279248.0,14,East,Bancassurance,1131000,145750.03127337364
4095,357.0,2022-12-24,59161.0,3,West,Direct,935800,122859.01546108445
4096,358.0,2020-10-06,29372.0,13,South,Agent,801300,105089.2092284657
4099,359.0,2024-12-10,388023.0,4,South,Bancassurance,548700,78156.9263414361
4134,360.0,2020-01-27,113964.0,5,Central,Agent,731300,97675.63125704072
4168,361.0,2020-05-31,59729.0,5,West,Direct,403600,69159.79294753507
4171,362.0,2022-05-04,52104.0,12,North,Broker,910700,115733.87927260493
4176,363.0,2022-02-03,204675.0,11,South,Agent,1005500,131042.84106768412
4177,364.0,2024-01-29,15823.0,10,West,Agent,290900,59830.37953784812
4189,365.0,2019-07-17,89730.0,15,North,Online,522700,77272.1392398471
4205,366.0,2022-12-07,90692.0,2,Central,Agent,749300,99649.22429364026
4227,367.0,2024-12-11,77530.0,5,South,Online,750500,98115.26447788076
4228,369.0,2021-09-11,73448.0,15,West,Direct,351100,65224.25671697673
